0_tq,0_tq_label,1_tq,1_tq_label,2_tq,2_tq_label,3_tq,3_tq_label,4_tq,4_tq_label
"If PersonX say, as a result, PersonY or others will, PersonY be uncertain",1,"If PersonX return the ring, PersonX is seen as, PersonX be unsure",1,"If PersonX actually get, as a result, PersonY or others will, PersonY look around to see",0,"If PersonX read a story, as a result, PersonX will, PersonX do not know",0,"If PersonX never see something, as a result, PersonX will, PersonX do not know",1
"If PersonX be sell it, as a result, PersonX will, PersonX marry PersonY PersonZ",0,"If PersonX buy that for PersonZ, as a result, PersonY or others will, PersonY complete PeopleX turn",0,"If PersonX just list PersonY for sale, as a result, PersonY or others feel, PersonY be own",1,"If PersonX have no money, as a result, PersonY or others will, PersonX beat PersonX wife",0,"If personx wife will not let, can be hindered by, PersonX cant afford it",0
"If PersonY tell it to PersonX, as a result, PersonY or others will, what PersonY say",0,"If PersonX write PersonY back, as a result, PersonY or others will, PersonY read",1,"If PersonX send word, as a result, PersonY or others will, PersonY read message",1,"If PersonX say unto PersonY, as a result, PersonY or others will, PersonX respond",1,"If PersonX ask PersonY something, as a result, PersonY or others will, PersonY think",1
"If PersonX live year, can be hindered by, PersonX be stick at work now",0,"If person x do not meet the entry requirement, can be hindered by, PersonX have to work on day",0,"If PersonX decide to move, can be hindered by, PersonX need to stay put because work",1,"If PersonX do something with that, as a result, PersonX will, PersonX be stick there",0,"If PersonX go day, can be hindered by, PersonX have to work",1
"If PersonX give up, as a result, PersonX wants to, PersonX await PersonX turn",0,"If PeopleX agree not to do it, as a result, PersonX will, PersonX get see",0,"If PersonX do not give up, as a result, PersonX wants to, PersonX feel determine",0,"If PersonX take out it, as a result, PersonX feels, PersonX agree to let",0,"If PersonX would not stop, because PersonX wanted, PersonX share experience",0
"If PersonX do not put up with that, as a result, PersonX will, PersonX look at grade",0,"If PersonX do not do it, as a result, PersonX will, PersonX do it",1,"If PersonX do not practice something, as a result, PersonX will, PersonX tumble",0,"If PersonX stay motionless, as a result, PersonX will, PersonX go for pass",0,"If PersonX be late for that, as a result, PersonX wants to, PersonX decide to do it",1
"If PeopleX start that, because PersonX wanted, PeopleX want love",1,"If PersonX go out on it, because PersonX wanted, PersonX want love",1,"If PersonX take part in affair, as a result, PersonX will, PersonX search new partner",1,"If PersonX get ready for date, as a result, PersonX will, PersonX propose",1,"If PersonX find a great one, as a result, PersonX wants to, PersonX want to start a relationship",1
"If PersonX turn around quickly, as a result, PersonX will, PersonX flip",1,"If PersonX move everything, because PersonX wanted, PersonX reorganize",1,"If PersonX need a change, as a result, PersonX feels, PersonX be accomplish",1,"If PersonX turn thing around, but before, PersonX needed, PersonX see",1,"If PersonX make some change, happens before, PersonX see improvement",1
"If PersonX settele the problem, as a result, PersonX will, PersonX get home",0,"If PersonX make it home, as a result, PersonX will, PersonX find direction",0,"If PersonX be study for week, PersonX is seen as, PersonX make it home in time",0,"If PersonX make it home in time, as a result, PersonX wants to, PersonX want to do the expect task",1,"If PersonX get PersonY home, as a result, PersonY or others will, PersonY receive answer",1
"If PersonX order a salad, because PersonX wanted, PersonX eat",1,"If PersonY frown, as a result, PersonY or others will, PersonX win three game",0,"If PersonX be disappointed, as a result, PersonX feels, PersonX get third place",0,"If PersonX order a salad, as a result, PersonY or others will, PersonY smile",1,"If PersonX order fries, as a result, PersonX will, PersonX pat PersonY on back",0
"If PersonX need a distraction, as a result, PersonX will, PersonX have autonomy",0,"If PersonX carefully remove, PersonX is seen as, PersonX be capable",1,"If PersonX run the gamut, PersonX is seen as, PersonX be free",1,"If PersonX use it, as a result, PersonX wants to, PersonX drop that",1,"If PersonX get out, because PersonX wanted, PersonX can be",0
"If PersonX be quite happy, as a result, PersonX will, PersonX smile",1,"If PersonX be happy, as a result, PersonX will, PersonX smile",1,"If PersonX feel great, as a result, PersonX will, PersonX smile",1,"If PersonX feel happier, as a result, PersonX will, PersonX have day",1,"If PersonX be happy, PersonX is seen as, PersonX be jovial",1
"If PersonX come early, as a result, PersonX will, PersonX go home",1,"If PersonX go home early, as a result, PersonX will, PersonX come day",0,"If PersonX take part in discussion, as a result, PersonY or others will, PersonY go home early",0,"If PersonX point it at PersonY, but before, PersonX needed, PersonX go home early",0,"If PersonX leave work early, as a result, PersonX will, PersonX go home",1
"If PersonX forehead wrinkle, as a result, PersonX will, PersonX hope to get better",0,"If PersonX be find out, as a result, PersonX will, PersonX wipe sweat from forehead",0,"If PersonX do most of cleaning, as a result, PersonX will, PersonX need a x-ray",0,"If PersonX wipe sweat from forehead, as a result, PersonX will, PersonX land on something",0,"If PersonX want to be a doctor, as a result, PersonX will, PeopleX study",1
"If PersonX could not find PersonY mother, as a result, PersonX will, PeopleX get back to work",0,"If PersonX retire from work, as a result, PersonX will, PersonY coworker have to do PersonX 's work",0,"If PersonX have lose PersonX job, as a result, PersonX will, PersonX loose spouse",1,"If PersonX head to work, as a result, PersonY or others will, PersonY get",1,"If PersonX be always late for work, as a result, PersonX will, PersonX get a new girlfriend",0
"If PersonX look in car, as a result, PersonX will, PersonX overlook the smoking gun",1,"If PersonX take PersonX truck, as a result, PersonX will, PersonX forget",1,"If PersonX check with menu, as a result, PersonX will, PeopleX do not bring something",0,"If PersonX eat sandwich, PersonX is seen as, PersonX be button",1,"If PersonX know about it, as a result, PersonX will, PersonX do not approach it",0
"If PersonX leave a bad review, PersonX is seen as, PersonX return for food",0,"If PersonX get drag by fish, as a result, PersonX will, PersonX enjoy a meal",0,"If PersonX have a nice meal, as a result, PersonX feels, PersonX pay the ticket",0,"If PersonX eat the food, as a result, PersonX will, PersonX bring a dish",0,"If PersonX sink PersonY 's tooth, PersonX is seen as, PersonX bring PersonX lunch",0
"If PersonX await a response, as a result, PersonX will, PersonX send text message",0,"If PersonX receive a message, because PersonX wanted, PersonX call PeopleX back",0,"If PersonX hang up on phone, as a result, PersonX wants to, PersonX want to schedule another appointment",0,"If PersonX take part in discussion, as a result, PersonX will, PersonX communicate",1,"If PersonX schedule a meeting, as a result, PersonX will, PersonX have a meeting soon",1
"If PersonX like to it, because PersonX wanted, PersonX speak with PeopleX",0,"If PersonY want to PeopleX, as a result, PersonY or others want to, PersonX put out PersonX hand",0,"If PersonX provide PersonY indication, as a result, PersonY or others want to, PersonY want to talk to PersonX",1,"If PersonY be on PeopleX side, PersonX is seen as, PersonX want to call PeopleX",0,"If PersonX smile back at PersonY, as a result, PersonY or others want to, PersonY want to approach PersonX",1
"If PersonX go to that, as a result, PersonX will, PersonX use something",1,"If PersonX take out something, as a result, PersonX will, PersonX use something",1,"If PersonX be at that location, as a result, PersonX will, PersonX use that",0,"If PersonX grab something, as a result, PersonX will, PersonX use something",1,"If PersonX decide to use that, as a result, PersonX will, PersonX use something",1
"If PersonX quit the team, PersonX is seen as, PersonX win the lottery",0,"If PersonX lose PersonX job, happens after, PersonX leave PersonX 's toy",0,"If PersonX want to play, as a result, PersonX will, PersonY let PersonX out",0,"If PersonX be something, as a result, PersonX will, PersonX leave something",1,"If PersonX chicken out, as a result, PersonX will, PersonX wish PersonX",1
"If PersonX play card, because PersonX wanted, PersonX gamble",1,"If PersonY thank PersonX, PersonX is seen as, PersonX buy a lottery ticket",0,"If PersonX be willing, PersonX is seen as, PersonX play the lottery",0,"If PersonX show PersonY something, PersonX is seen as, PersonX buy the game",0,"If PersonX have a gambling problem, as a result, PersonY or others feel, PersonX look so",0
"If PersonX take it from there, as a result, PersonX will, PersonX get there",1,"If PersonX see a item, as a result, PersonX will, PersonX arrive at location",0,"If PersonX go to find something, as a result, PersonX will, PersonY do list",0,"If PersonX get fulfil, as a result, PersonX will, something have be",0,"If PersonX find, as a result, PersonX will, PersonX achieve goal",1
"If PersonX have no, as a result, PersonX will, PersonX hint to PersonY",1,"If PersonX visit something, as a result, PersonX will, PersonX get dump by PersonY",0,"If PersonX lose PersonY 's grip, as a result, PersonX will, PersonX drop PeopleX",1,"If PersonX be too much for PersonY, as a result, PersonX will, PersonX get dump by PersonY",1,"If PersonX go, as a result, PersonY or others will, PersonX go",1
"If PersonX get do today, can be hindered by, PersonX have to go to hospital",1,"If PersonX continue down the same course, as a result, PersonX will, PersonX wake up in hospital",0,"If person x be paralyzed, can be hindered by, PeopleX be in the hospital",0,"If PersonX see a lot of that, causes, PersonX be in a hospital",0,"If PersonX lose PersonX mind, happens before, PersonX check into hospital",1
"If PersonX mix together, as a result, PersonX feels, PersonX be useful",1,"If PersonX put it together, as a result, PersonX will, it be fix",0,"If PersonX be interst, as a result, PersonX feels, PersonX fit perfectly",0,"If PersonX mix a drink, PersonX is seen as, PersonX be similar",0,"If PersonX put the ingredient together, as a result, PersonX will, PersonX drink chamagne",0
"If ask PersonY a question, as a result, PersonX will, PersonX take off",0,"If PersonX go, as a result, PersonY or others will, PersonX go",1,"If PersonX express PersonX desire, as a result, PersonY or others will, PersonY leave",1,"If PersonX have to wait for PersonY, as a result, PersonX will, PeopleX leave there",0,"If PersonX leave there, as a result, PersonY or others will, PersonY leave there",1
"If PersonX put PersonY on table, as a result, PersonX wants to, PersonX need to tell PersonY",0,"If PersonX leave PersonY room, happens after, PersonY have a argument with PersonX",1,"If PersonX say hello to PersonY, happens after, PersonX meet PersonY at restaurant",1,"If PersonY get yell at PersonX, as a result, PersonY or others will, PersonY people walk out of room",0,"If PersonX bring a dish, PersonX is seen as, PersonY talk to PersonX",0
"If PersonX engulf in flame, as a result, PersonX will, PersonX burn",1,"If PersonX smell the air, as a result, PersonX will, PersonX burn to hopsital",0,"If PersonX shake out nerve, as a result, PersonX will, PersonX burn",0,"If PersonX have that, causes, PersonX light it on fire",1,"If PersonX be wreckless, PersonX is seen as, PersonX engulf in flame",0
"If PersonX go outside, as a result, PersonX feels, PeopleX could see that",0,"If PersonX would look, as a result, PersonX will, PersonX have a expectation",1,"If PersonX see that, as a result, PersonX will, something be",1,"If PersonX look out of that, as a result, PersonX will, PersonX see that",1,"If PersonX go outside to play, as a result, PersonX will, PersonX see that",1
"If PeopleX do something, as a result, PersonX will, PersonX do not do it because that",1,"If PersonX be strict, as a result, PersonX will, PersonX will not let",1,"If PersonX will not do it, as a result, PersonX will, PersonX do not do it",1,"If PersonX make a move, as a result, PersonX will, PersonX be reject",1,"If PersonX decide to do something, as a result, PersonY or others will, PersonY do not allow PersonX do something",1
"If PersonX get sick of it, as a result, PersonX will, PersonX sorrow",1,"If PersonX be sick of that, as a result, PersonX will, PersonX turn off something",1,"If PersonX do it, as a result, PersonX will, PersonX be tire of that",1,"If PeopleX play that, as a result, PersonX will, PersonX get tire of that",1,"If PersonX get antsy, as a result, PersonX will, PersonX walk away",1
"If PersonX do nothing, as a result, PersonX will, how PeopleX do",0,"If PeopleX do that, as a result, PersonX will, PeopleX do something",1,"If PeopleX be play something, as a result, PersonX will, PersonX do something",1,"If PeopleX go to do that, as a result, PersonX will, PeopleX do something",1,"If PersonX stop, as a result, PersonX will, PersonX think",1
"If PersonX make chocolate chip cookie, as a result, PersonX will, PersonX smell",1,"If PersonX bake, as a result, PersonX will, PersonY get messy",1,"If PersonX bake one, PersonX is seen as, that be really dirty",0,"If PersonX mix up, as a result, PersonX will, PersonX want to make cookie",0,"If PersonX be bake a cake, as a result, PersonX will, PersonX have dirty dish",1
"If PersonX view of change, includes the event or action, PersonX get bite by fly",0,"If PersonX speak well of PersonY, as a result, PersonX will, PersonX bite by bug",0,"If PersonX call a exterminator, PersonX is seen as, PersonX get sting by bee",0,"If PersonX water flower, as a result, PersonX will, PersonX be sting by bee",1,"If PersonX bring PersonY forth, as a result, PersonX will, PersonX kill a bug",0
"If PersonX call PersonX husband, PersonX is seen as, PersonX be needy",1,"If PersonX be sorry for people, as a result, PersonX feels, PersonX may have that",0,"If PersonX see PersonX husband, as a result, PersonX feels, PersonX be ok",1,"If PersonX ask PersonX husband, as a result, PersonY or others want to, PersonY want to help PersonX",1,"If PersonX ask PersonY, as a result, PersonY or others want to, PersonX be sympathetic",0
"If PersonX pee on floor, as a result, PersonX will, PersonX have longer the need",1,"If PersonX put PersonY foot down, as a result, PersonX will, PersonX be much older",0,"If PersonX be set for week, as a result, PersonX will, PersonX be old now",0,"If PersonX go do that, as a result, PersonX will, PersonX get old",0,"If PersonX be alive, as a result, PersonX wants to, PersonX get old",1
"If PersonX want to do something, as a result, PersonX will, PersonX get up",1,"If PersonX decide to do something about something, as a result, PersonX will, PersonX start to say",0,"If PersonX eventually decide, because PersonX wanted, PersonX intent do something concrete",1,"If PersonX decide to do something about it, as a result, PersonX wants to, PersonX take initiative",1,"If PersonX set the pace, as a result, PersonX will, PersonX be stand on something",0
"If PersonX get some food, as a result, PersonX will, PersonX be starve",0,"If PersonX eat PersonX food, happens after, PersonX be starve",1,"If PersonX be poor, as a result, PersonX will, PersonX do not have a money",1,"If PersonX be go, causes, PersonX have no food",1,"If PersonX stay up night, as a result, PersonX will, PersonX go bankrupt",0
"If PersonX make a difference, happens after, PersonX want some change",1,"If PersonX want to change direction, as a result, PersonX wants to, PersonX make",0,"If PersonX see thing clearly, as a result, PersonX wants to, PersonX want to change mind",1,"If PersonX change PersonY opinion, as a result, PersonX wants to, PersonX want to change more opinion",1,"If PersonX come clean, as a result, PersonX wants to, PersonX want to change",1
"If PersonX sit, as a result, PersonX will, PersonX sleep",1,"If PersonX do not sleep well, as a result, PersonX will, PersonX take a nap",1,"If PersonX become tired, as a result, PersonX will, PeopleX go to sleep",1,"If PersonX become tired, as a result, PersonX will, PersonX go to sleep",1,"If PersonX feel well, as a result, PersonX will, PersonX take a nap",0
"If PersonX do not get that, as a result, PersonX will, PersonX cry",1,"If PersonX stay away from that, as a result, PersonX will, PersonX can not do it",0,"If PersonX could not get that, as a result, PersonX will, PersonX find well",0,"If PersonX could not do that, as a result, PersonX feels, PersonX be get",0,"If PersonX spend less time, as a result, PersonX will, PersonX fail at something",1
"If PersonX receive PersonY degree, can be hindered by, personx could not attend personally",1,"If PersonX invite PersonY, can be hindered by, PersonX can not talk",1,"If PersonX have to go conference out town, can be hindered by, PersonY take away PersonX paper",0,"If PersonX see PersonY article, can be hindered by, PersonY do not have a subscription to publication",1,"If PersonX write PersonY a letter, can be hindered by, letter can not be deliver",1
"If it will happen, as a result, PersonX will, PersonX do",1,"If PersonX do it, as a result, PersonX will, that PersonX do it",1,"If PersonX find, as a result, PersonX will, PersonX be make sure",1,"If PersonX have, as a result, PersonX will, PersonX have",1,"If PersonX try that, as a result, PersonX will, PersonX think that",1
"If PersonX shout, because PersonX wanted, PersonX scream blue murder",0,"If PersonX scream blue murder, as a result, PersonX wants to, PersonX get a huge",0,"If PersonX strike, as a result, PersonX will, PersonX scream in anger",1,"If PersonX misspell a word, as a result, PersonX will, PeopleX see murder",0,"If PersonX see thing, as a result, PersonX will, PersonX get kill",1
"If PersonX hide PersonX face in hand, as a result, PersonX will, PersonX can not see",1,"If PersonX hide from PersonY, as a result, PersonY or others will, PersonY do not find PersonX",1,"If PersonX hide something from PersonY, as a result, PersonY or others will, PersonY could not find that",1,"If PersonX misplace something, as a result, PersonX will, PersonX can not find that",1,"If PersonX be distract, as a result, PersonX will, PersonX do not see something",1
"If PersonX walk there, as a result, PersonX will, PersonX open it",1,"If PersonX go to that, as a result, PersonX will, PersonX open that",1,"If PeopleX go to see it, as a result, PersonX will, PersonX walk up",1,"If PersonX grab something, as a result, PersonX will, PersonX open something",1,"If PeopleX come back to something, as a result, PersonX will, PersonX walk up to see",0
"If PersonX therefore can not work 25 hour, can be hindered by, the memory be too powerful",0,"If PersonX try really hard, PersonX is seen as, PersonX hit the hay",0,"If PersonX be and, can be hindered by, there be 25 people wait",1,"If PersonX show diagrammatically in fig, as a result, PersonX will, PersonX rush surge of energy",0,"If PersonX get to front, as a result, PersonX feels, PersonX accomplish have get to front",1
"If PersonX look for that, as a result, PersonX will, PersonX notice",1,"If PersonX approach that, as a result, PersonX will, PersonX notice something",0,"If PersonX take one look, as a result, PersonX will, PersonX become aware",1,"If PersonX be do in there, as a result, PersonX will, PersonX see that",1,"If PersonX be there, as a result, PersonX feels, PersonX notice something",0
"If PersonX be pull over by cop, as a result, PersonX will, PersonX get off with warning",1,"If PersonX close rank, as a result, PersonX will, PersonX be avoid",1,"If PersonX take the blame, can be hindered by, personx can not go back to jail",1,"If PersonX do not get in trouble, as a result, PersonX feels, PersonX be satisfied",1,"If PersonX eventually leave, as a result, PersonX will, PeopleX be not invite back",1
"If PersonX have no job, as a result, PersonX wants to, PersonX do not have that",1,"If PersonX be promptly fire, can be hindered by, PersonX do not have a job",1,"If PersonX doesnt have money, can be hindered by, person x be not qualify for job",0,"If PersonX be a homeless PersonY, but before, PersonX needed, PersonX lose PeopleX job",1,"If PersonX quit day, as a result, PersonX will, PersonX become unemployed",1
"If PersonX sleep night, as a result, PersonX will, PersonX dream",1,"If PersonX sleep well night, happens before, PersonX wake up",1,"If PersonX get back, happens after, PersonX be return from night",1,"If PersonX have a energy, happens after, PersonX sleep well",1,"If PersonX sleep long, as a result, PersonX will, PersonX wake up late",1
"If PersonX walk away angry, happens before, PersonX approach the sheriff",0,"If PersonX tell PeopleX about it, as a result, PersonX will, PeopleX call the police",1,"If PersonX check in there, as a result, PersonX will, PersonX get interrogate",0,"If PersonX pay the ticket, but before, PersonX needed, PersonX need to talk to officer",1,"If PersonX never say anything, happens after, PersonX be pull over by cop",1
"If PersonX take PersonY approach, as a result, PersonX will, PersonX find success",1,"If PersonX present PersonY overview, PersonX is seen as, PersonY be successful",1,"If PersonX give PersonY example, as a result, PersonY or others will, PersonX be good",0,"If PersonX seize PersonY opportunity, happens after, PersonY to succeed",0,"If PersonX achieve, as a result, PersonX wants to, PersonY succeed",1
"If PersonX buy everything, PersonX is seen as, PersonX turn the tide",0,"If PersonX acquire something, as a result, PersonX will, PersonX turn a page",0,"If PersonX really want, as a result, PersonX will, PersonX buy",1,"If PersonX buy that, as a result, PersonX will, PersonX run something",1,"If PersonX buy the game, PersonX is seen as, PersonX be do",1
"If PersonX crumple to floor, as a result, PersonX will, PersonX never notice",0,"If PersonX look for it, as a result, PersonX will, PersonX do not find it",1,"If PersonX know about it, as a result, PersonX will, PersonX do not approach it",0,"If PersonX hold the rein, PersonX is seen as, PersonX never find out",0,"If PersonX be distract, as a result, PersonX will, PersonX do not see something",1
"If PersonX eat a lot, as a result, PersonX will, PersonX gain weight",1,"If PersonX get fat, as a result, PersonX will, PersonX eat more",1,"If PersonX eat a lot of that, as a result, PersonX will, PersonX get full",1,"If PersonX eat a lot of that, as a result, PersonX will, PersonX be full",1,"If PersonX eat food, as a result, PersonX will, PersonX get full",1
"If PersonX check the news, as a result, PersonX feels, PersonX be inform",1,"If PersonX unnerve persony, because PersonX wanted, PersonX see the news",0,"If PersonX read the news, includes the event or action, PersonX be knowledgable",0,"If PersonX search online, as a result, PersonX feels, PersonX be inform",1,"If PersonX be there, causes, PersonX read it",1
"If PeopleX be be chase by PersonX, as a result, PersonY or others want to, PersonY be",1,"If PersonX look everywhere for PersonY, as a result, PersonY or others want to, PersonY want to look for PersonX",1,"If PersonX take PersonY share, as a result, PersonY or others want to, PersonY want to find out",1,"If PersonX never show, as a result, PersonY or others want to, PersonY want to find PersonX",1,"If PersonX play, as a result, PersonY or others will, PersonY find people",1
"If PersonX ask out a girl, as a result, PersonY or others will, PersonY say yes",1,"If PersonX ask PersonY permission, as a result, PersonY or others want to, PersonY say yes",1,"If PersonX tell PersonY wife, as a result, PersonY or others will, PersonY smile",1,"If PersonX take another wife, as a result, PersonY or others want to, PersonY say yes",1,"If PersonX meet PersonX sister, as a result, PersonY or others will, PersonY greet PersonX",1
"If PersonX become better, as a result, PersonX will, PersonX couple with PersonY",0,"If PersonX love, as a result, PersonX wants to, PersonY be get",1,"If PersonX find a PersonY, but before, PersonX needed, PersonX get marry",1,"If PersonX suit PersonY well, as a result, PersonY or others will, PersonX fall in love",1,"If PersonX marry to PersonY, because PersonX wanted, PersonY can have",0
"If PersonX rule day, as a result, PersonY or others want to, PersonY want to cooperate with PersonX",1,"If PersonX share with PersonY, because PersonX wanted, PersonX want friendship",1,"If PersonX say, as a result, PersonY or others want to, PersonY want to be friend with PersonX",1,"If PersonX be a good friend, as a result, PersonX wants to, PersonX agree to do it for PersonY",0,"If PersonY want to hope the best for PersonX, as a result, PersonY or others want to, PersonY want to like spending time with PersonX",0
"If PersonX open the door, because PersonX wanted, PersonX sell something",0,"If PersonX just list PersonY for sale in shop, as a result, PersonY or others will, something be ok",0,"If PersonX give PersonY the key, as a result, PersonY or others want to, who be knock at door",0,"If PersonY get a better deal, as a result, PersonY or others want to, PersonX make",0,"If PersonX open it, as a result, PersonY or others will, PersonY ask for it",1
"If PersonX make it to final, as a result, PersonY or others will, other person get PeopleX call answer",0,"If PersonX want to test PersonY, as a result, PersonX will, PersonX ask PersonY do that",1,"If PersonY stay contact with PersonX, as a result, PersonY or others want to, PersonY want to take PersonX 's challenge",0,"If PersonX have a late start, as a result, PersonY or others want to, PersonY assess",0,"If PersonX clear PersonY 's mind, as a result, PersonY or others will, PersonX accept PersonY challenge",0
"If PersonX get to see PersonZ, as a result, PersonY or others will, PersonX talkd",1,"If PersonX need to pass fourth grade, but before, PersonX needed, PersonX need to approach personz",0,"If PersonX convince PersonY do that, as a result, PersonY or others will, PersonY speak with PersonZ",0,"If PersonX roll around in it, as a result, PersonX will, PersonX start talk to PersonZ",0,"If PersonX find PersonZ, as a result, PersonY or others want to, PersonY want to talk to PersonX",1
"If PersonX keep say no, as a result, PersonY or others will, PersonY get upset",1,"If PersonX show PersonY interest, as a result, PersonY or others will, PersonY get turn off",1,"If PersonX change without notice, as a result, PersonY or others want to, PersonY get angry with personx",0,"If PersonX know better, as a result, PersonY or others will, PersonY stop want PersonX around",0,"If PersonX have not let, as a result, PersonX wants to, PersonX rub PersonY the wrong way",0
"If PersonX wear PersonY glass, as a result, PersonY or others want to, PersonY give PersonX PeopleX glass",1,"If PersonX want a drink, as a result, PersonY or others want to, PersonY give PersonX a bottle",1,"If PersonX accidentally spill, as a result, PersonY or others feel, PeopleX get another drink",0,"If PersonY pour PersonX a drink, as a result, PersonY or others want to, PersonX want a drink",0,"If PersonX fill PersonX glass, because PersonX wanted, PersonX have a drink",1
"If PersonX throw it at PersonY, causes, PersonX forget about picture",0,"If PersonX pass the ball, as a result, PersonY or others want to, what PersonX do",0,"If PersonX pull away from PersonY, as a result, PersonX wants to, PersonX want to ignore PersonY",1,"If PersonX have friend, as a result, PersonX wants to, PersonX throw it",1,"If PersonY could not find PersonX, as a result, PersonY or others want to, PersonY ignore PersonX",0
"If PersonX activate a shadow over everyone, as a result, PersonX wants to, PersonX want to give shade",1,"If PersonX want to give PersonY peace, as a result, PersonX wants to, PersonX curl around PersonY",0,"If PersonX put PersonY 's arm around PersonY, PersonX is seen as, PersonX be calming",1,"If PersonX be soothe, as a result, PersonX feels, PersonX squeeze PersonY hand",0,"If PersonX pat PersonY hand, PersonX is seen as, PersonX be affectionate",1
"If PersonX be generous, as a result, PersonX wants to, PersonX give something to PersonY",1,"If PersonX give PersonY another, as a result, PersonX feels, PersonX be generous",1,"If PersonX offer to PersonY, as a result, PersonY or others feel, PersonY be gracious",1,"If PeopleX can not have something, as a result, PersonY or others will, PersonY give a compliment in return",0,"If PersonX help PersonY in way, as a result, PersonY or others want to, PersonY do something in return",1
"If PersonX retake the test, can be hindered by, gun can not be exchange",0,"If PersonX fire PersonX rifle, can be hindered by, PersonX will not let",1,"If PeopleX have a untreated food addiction, can be hindered by, PersonY will not move of way",0,"If PersonX hold PersonY fast, as a result, PersonY or others will, PersonY can not move",1,"If PersonX occupy PersonY place, can be hindered by, person y will not leave",1
"If PersonX hurt PersonY much, as a result, PersonY or others want to, PersonY want to cry",1,"If PersonX see PersonY cry, as a result, PersonY or others feel, PersonY be overwhelm",0,"If PersonX use PersonY language, as a result, PersonY or others want to, PersonX feel",1,"If PersonX cause PersonY pain, as a result, PersonY or others want to, PersonY want to cry",1,"If PersonX cause PersonY, as a result, PersonY or others want to, PersonY want to cry",1
