0,0_label,1,1_label,2,2_label,3,3_label,4,4_label,0_tq,0_tq_label,1_tq,1_tq_label,2_tq,2_tq_label,3_tq,3_tq_label,4_tq,4_tq_label,5,5_label,6,6_label,7,7_label,8,8_label,9,9_label
"The event PersonX take a vow of loyalty will not happen, if PersonX win third place",0,The event PersonX have a garage sale will not happen unless PersonX arrive early,0,"PersonX be discover bed at around, thus, PersonX want to run away",1,"PersonX tell PersonY thought, thus as an result, tell the person a secret",1,"PersonX buy a new boat, thus as an result, PersonX jump the queue",0,"If PersonX retire from work, PersonX is seen as, PersonX tell PersonY 's story",0,"If PersonX yell for help, because PersonX wanted, PersonX come out of pit",1,"If PersonX be drive down the street, but before, PersonX needed, PersonX get into car",1,"If PersonX need vacation, because PersonX wanted, it to come true",0,"If PersonX be anbitious, PersonX is seen as, PersonX be petty",0,"PersonX expect a child, thus as a result on PersonX's emotion, PersonX go dutch",0,The event PersonX play banjo will not happen unless PersonX know,1,The event PersonX slide PersonY 's finger will not happen unless PersonX approach PersonY,1,The event PersonX breastfeed PersonX baby will not happen unless PersonX learn,1,The event PersonX land on it wrong will not happen unless PeopleX be hungry,0
"PersonX put the rest away, thus, PersonX want to hire a lawyer",0,"PersonX assume, thus, PersonX want to judge correctly",1,The event PersonX drink the beer will not happen unless PersonX find love,0,"The event person x have the stomach virus will not happen, if PersonX do not PersonY 's job",0,"PersonX gete, thus as an result, PersonX be work late",0,"If PersonX have answer, as a result, PersonX feels, PersonX win a prize",0,"If PersonX rid PersonX 's bike, PersonX is seen as, PersonX be neat",1,"If PersonX be angry, as a result, PersonX feels, PersonX take PersonY to jail",0,"If PersonX be disoriented, as a result, PersonX wants to, PersonX want to find",0,"If PersonX give PersonY a couple, as a result, PersonY or others want to, PersonY want to pay PersonX",1,"PersonX bathe it, thus it can be seen about PersonX's intention that PersonX want it be clean",1,"PersonX kill that, thus as a result on PersonX's emotion, PersonX feel PersonX be frustrated at PersonY",0,"PersonX go to grocery, thus, PersonX want to collect phone number",0,"PersonX seek PersonY explanation, thus it can be seen about PersonX's intention that PersonX gain knowledge",1,"PersonX put ice on it, thus it can be seen about PersonX's intention that PersonX choose PersonZ 's item",0
"PersonX transport PersonY to island, thus as a result on PersonY's emotion, PersonY feel PersonY be rest",1,"PersonX go for jog, thus, PersonX want to grant PersonY permission",0,"PersonX walk the way back, thus, PersonX want to take PersonY car key",1,"The event PersonX come into force will not happen, if there be no cellular service",0,"PeopleX be attractive, thus it can be seen about PersonX's attribute that PersonX be swelter",0,"If PersonX check PersonY shoe for spider, as a result, PersonX wants to, PersonX want to brush PersonY off",1,"If PersonX feel well enough, as a result, PersonX wants to, PersonX walk outside",1,"If PersonX bury PersonY 's face, can be hindered by, PersonY be in a different room",1,"If PersonX check, as a result, PersonX feels, PersonX feel excited",1,"If PersonX avoid a sickness, because PersonX wanted, PersonX like the pizza",0,The event PersonX need to get out of bed will not happen unless it be all worth,0,"PersonX neglect PersonX duty, thus it can be seen about PersonX's attribute that PersonY be overwhelm",0,"The event PersonX can not come up with reason will not happen, if PersonX do not have a spreadsheet",0,"PersonX see cloud, thus as an result, people look down on PeopleX",0,The event PersonX go jogging will not happen unless PersonX leave the house,1
"The event PersonX 's teacher do not teach PersonY enough will not happen, if person x can not locate the phone",0,"The event PersonX take a drink will not happen, if PeopleX be under age",1,"PersonX call PersonY today, thus as a result on PersonX's emotion, PersonX do that with PersonY",0,"PersonX noneq, thus as an result, PersonX go to college",0,"PersonX feel aggressive, thus it can be seen about PersonX's attribute that PersonX be reciprocative",0,"If PersonX tell PersonY something, but before, PersonX needed, PersonX need to approach PersonY",1,"If PersonX give PersonY guidance, because PersonX wanted, PersonX enjoy PersonY time on beach",0,"If PersonX feel full, as a result, PersonX wants to, PersonX leave the table",1,"If PersonX buy a new house, but before, PersonX needed, PersonX need to distract PersonY",0,"If PersonX get PersonX medicine, because PersonX wanted, PersonX get better",1,"PersonX be happy, thus it can be seen about PersonX's intention that PersonX like PersonY",1,"PersonX do not communicate with PersonY, thus it can be seen about PersonX's attribute that PersonX see many people",0,"PersonX call PersonX brother, thus, PersonX want to end the conversation",1,"The event PersonX eat sandwich will not happen, if PersonX can not find a phone store",0,"PersonX want to meet people, thus, PersonX want to feel responsible",0
"PersonX make waffle, thus as an result, PersonX burn hand",1,"PersonX be unawsre, thus it can be seen about PersonX's attribute that PersonX become fit",0,"PersonX ace PersonX exam, thus, PersonX want to celebrate",1,"PersonX take up PersonY 's residence, thus, PersonY want to tell PersonX about place",1,"PersonX tell PersonY about PersonZ, thus it can be seen about PersonX's intention that PersonX want to be",1,"If PersonX tell PersonY the truth, as a result, PersonX wants to, PersonX want to apologize",1,"If PersonX be amazing, as a result, PersonY or others will, PersonY ask PersonZ teach PersonY",1,"If jet set, as a result, PersonX wants to, PersonX want to pass PersonY for test",0,"If PersonX hold PersonY 's hip, as a result, PersonX wants to, PersonX want to show",1,"If PersonX remember the description, but before, PersonX needed, PersonX need to start the mower",0,"The event PersonX stop press will not happen, if PersonX 's mother teach PersonY never talk politics in public",0,"PersonX turn the light, thus as an result, PersonX get hit",1,"PersonX have a huge party, thus as an result, PersonY people sleep late",1,"PersonX get some new shoe, thus it can be seen about PersonX's attribute that PersonX be wasteful",1,"PersonX walk around for bit, thus, PersonX want to eat",1
"PersonX carefully remove, thus as an result, PersonX move PersonX body slowly",1,"The event PersonX love play outside will not happen, if PersonX be afraid of bee",1,"PersonX would be difficult, thus, PersonX want to give up",1,"Because PersonX have phone, PersonX be distract",1,"PersonX save for month, thus as an result, PersonX recieve",1,"If PersonX strengthen PersonX position, as a result, PersonY or others will, PersonY tell PersonX something",0,"If PersonX always give, as a result, PersonX wants to, PersonX get motivate",0,"If PersonX avenge PersonY death, as a result, PersonY or others feel, PersonY feel disturbed",0,"If PersonX give PersonY a huge hug, as a result, PersonY or others will, PersonY become grateful for attention",1,"If PersonX be in bed, causes, PersonX start to feel better",1,"PersonX pack PersonY backpack, thus, PersonX want to get utensil",0,"The event PersonX run a hand through hair will not happen, if PersonX get excite",0,"PersonX decide to try, thus as an result, PersonX think about it again",1,"PersonX really want it, thus as a result on PersonX's emotion, PersonX feel PersonX be attract",1,"PersonX buy a sweater, thus as an result, PersonX get a receipt",1
"PersonX do not do something, thus it can be seen about PersonX's attribute that PersonX set foot on soil",0,"The event PersonX get scare will not happen, if PersonX be not easily frightened",1,"PersonY be nasty, thus as a result on PersonX's emotion, PersonX feel PersonX be play with cat",0,The event PersonX go to switch will not happen unless PersonX be relay the message to party,0,"PersonX start kindergarten, thus, PersonX want to be a student",1,"If PersonX call PersonY daughter, can be hindered by, PersonX do not have daughter 's number",1,"If PersonX cuddle it, as a result, PersonY or others feel, PersonX be deliver day",0,"If PersonX send PersonY to PersonZ, as a result, PersonY or others will, PersonY get punish",1,"If PersonX want activity, because PersonX wanted, PersonX go outside",0,"If PersonX share PersonX thought, happens after, PersonX post a blog to internet",1,The event PersonX buy a new couch will not happen unless PersonX declare war on PersonY,0,"PersonX reach PersonY goal, thus as an result, PeopleX be achieve something",0,"PersonX take the car away, thus, PersonX want to PersonY to pass the class",0,"PersonX give the kitten, thus it can be seen about PersonX's attribute that PersonX be correct",1,"Because PersonX have that, PersonX get food poisoning",1
"PersonX care for that, thus it can be seen about PersonX's attribute that PersonX learn a valuable lesson",0,"PersonX have to go home, thus as a result on PersonX's emotion, PersonX feel PersonX be disappointed",1,"PersonX believe PersonY eye, thus it can be seen about PersonX's attribute that PersonX help PersonY friend",0,"PersonX make room for PersonY, thus as an result, PersonX shuffle the card",0,"PersonX work a full time job, thus as an result, PersonY love",1,"If PersonX want to put the bolt in place, as a result, PersonX wants to, PersonX teach persony a lesson",0,"If PersonX meet PersonY, as a result, PersonX feels, PersonX feel attraction",1,"If PersonX drink the milk, as a result, PersonX feels, PersonX be refresh from hike",0,"If PersonX be separate from PersonY, as a result, PersonX will, PersonX tell PersonZ",1,"If PersonX buy a ticket, as a result, PersonX feels, PersonX be excite",1,"Before PersonX go to therapist, PersonX talk about feeling",0,The event PersonX need to use PeopleX body will not happen unless PersonX have publish,0,"Because it be in the freezer, PersonX throw something out",1,"PersonX have the perfect sauce, thus it can be seen about PersonX's intention that tell PeopleX grandmother a secret",0,"The event peresonx be too nice for encounter will not happen, if PersonY addict",0
"PersonX build new relationship, thus as an result, PersonX engage conversation by PersonY",0,"Because PersonX have a door, PersonY knock at door",1,"PersonX provide PersonY assessment, thus it can be seen about PersonX's attribute that PersonX be useful",1,"PersonX look all, thus, PersonY want to talk to PersonY",1,"PersonX have a conversation with grandmother, thus as an result, PersonX continue read",0,"If PersonX need to go there, as a result, PersonX will, PersonX hire employee",0,"If PersonX swim around, can be hindered by, the water be dirty",1,"If PersonY d do something, because PersonX wanted, PersonX want PersonY do something",1,"If PersonX develop PersonY program, happens after, PersonX go to school",1,"If PersonX have sensitive skin, can be hindered by, person x have no knife in drawer",0,"PersonX show PersonX appreciation, thus as an result, PersonX give hug",1,"PersonX finish PersonX course, thus, PersonX want to start look for job",1,"PersonX provide PersonY framework, thus as an result, PersonX give understanding",1,"PersonX be uncaring, thus it can be seen about PersonX's attribute that PersonX take PersonY",0,"PersonX put it in pocket, thus it can be seen about PersonX's attribute that PersonX hide something",0
"PersonX knock on door, thus as a result on PersonX's emotion, PersonY be home",1,"Because PersonX have to write a report, PersonX have a report",1,"PersonX drive home from school, thus as a result on PersonX's emotion, PersonX feel PersonX be exhaust",1,The event PersonX find a apartment will not happen unless PersonX learn PersonX duty,0,"PersonX be play baseball, thus as an result, PersonX strike out",1,"If PersonX pull a muscle, as a result, PersonX will, PersonX play football with friend",0,"If PersonX see horse, includes the event or action, PersonX drain tub",0,"If PersonX decide to wait, can be hindered by, PersonX be out time",1,"If PersonX inform, because PersonX wanted, PersonX be in the front row",0,"If PersonY be physically hurt angry, as a result, PersonY or others feel, PersonX return to home",0,"PersonX strengthen PersonY 's position, thus as an result, person y be in the wrong",0,"PersonX reach the peak, thus as a result on PersonX's emotion, PersonX feel PersonX be capable",1,"PersonX love PersonY child, thus as a result on PersonX's emotion, PersonX feel PersonX be affectionate",1,"PersonX pay PersonX expense, thus as an result, PersonX look for job",1,"PersonX pursue PersonX interest, thus it can be seen about PersonX's attribute that PersonX want to live a good life",0
"PersonX wake to find, thus as an result, PeopleX go to PeopleX",0,"PersonY want to repay borrow money, thus, PersonY want to be angry with PersonX",0,"After PersonX beat the meat, PersonX flinch",0,"PersonX swerve to avoid it, thus as an result, PersonX look startle",1,"PersonX drive two hour, thus as an result, PeopleX get PeopleX",0,"If PersonY have finish the drink, can be hindered by, person x be with other",0,"If PersonX have a pain, as a result, PersonY or others will, PersonY check the pain source",1,"If PersonX say anything, as a result, PersonX wants to, it be mad",1,"If PersonX fail at that, PersonX is seen as, PersonX be subordinate",0,"If PersonX want that, as a result, PersonX will, PersonX ask for it",1,"PersonX decide to make breakfast, thus, PersonX want to finish cooking",1,"The event PersonX give PersonY the key will not happen, if PersonX can not find the key",1,"PersonX set PersonY up on date, thus as a result on PersonX's emotion, PersonX feel PersonX be agreeable",0,"The event PersonX empty the tank will not happen, if PersonX lack the proper tool",1,"PersonX want to encourage PersonY, thus, PersonX want to take PersonY 's hand",0
"PersonX build PersonX house, thus, PersonX want to reward the worker",1,The event PersonX have call in advance to make a booking will not happen unless PersonX be proud,0,"PersonX want to congratulate themselves for finish, thus, PersonX want to use the towel",0,"Because PersonX be cold, PersonX read night",0,"PersonX hurt something, thus as an result, PersonX start to cry",1,"If PersonX love play outside, happens before, PersonX play outside",1,"If PersonX clear PersonY throat, PersonX is seen as, PersonX be impose",1,"If PersonX teach dog training class, happens after, PersonX forget PeopleX debit card at store",0,"If PersonX look for PersonY, PersonX is seen as, PersonX be a consumer",0,"If PersonX want PersonY do it, as a result, PersonX wants to, PersonY do something",0,"PersonX have dream, thus, PersonX want to have a bad dream",1,"The event PersonX drop a bomb will not happen, if PersonX take the bomb",1,"Because PersonX be in bed, PersonX set",1,"PersonX get sick too, thus as an result, PersonX make PersonY commitment",0,"PersonY have that, thus as an result, PersonY have a sense of obligation",0
"PersonX put PersonY in touch, thus as a result on PersonY's emotion, PersonY feel PersonY be apologetic",0,"PersonX be entertain, thus as an result, PersonX love to play basketball",0,"Before PersonX be help PersonY, PersonX leave bicycle at house",0,"PersonX take day off, thus as an result, PersonX go back",1,"PersonX rub PersonY 's supple breast, thus as an result, PeopleX get sexually arouse",1,"If PersonX play a board game, as a result, PersonX will, PersonX market game",1,"If there be too many thing, can be hindered by, PersonX say happy birthday",0,"If PersonX go to kill PersonY, PersonX is seen as, PersonX miss PeopleX",0,"If PersonX know PersonX mind, PersonX is seen as, PersonX be ready to something",0,"If PersonX bring PersonY close, can be hindered by, PersonY do not like personx",1,"PersonX continue move the hip, thus, PersonX want to drive home safely",0,"PersonX be oblivious, thus as an result, PeopleX go to school",0,"PersonX laugh, thus, PersonX want to accept it",1,"The event PersonX serve PersonX 's interest will not happen, if person x have a injury",0,"After PersonX get old, PersonX play with button",0
"PersonX afford PersonX 's rent, thus as a result on PersonY's emotion, PersonY feel PersonY be appreciative",1,"The event PeopleX do not have scissors will not happen, if person x be allergic to alcohol",0,The event PersonX get a new pet will not happen unless PersonX convince everyone at home,1,"PersonX open that, thus as an result, PersonX need to let something out",0,"PersonX meet PersonX teacher, thus, PersonX want to bounce",0,"If PersonX tell scary story, PersonX is seen as, PersonX make something in there",0,"If PeopleX have to pay off PeopleX own debt first, can be hindered by, bank 's atm machine be break",0,"If PersonX know, as a result, PersonY or others want to, PersonY want to use it well",1,"If PersonX politely ask, because PersonX wanted, PersonX know something",1,"If PersonY buy some food, as a result, PersonY or others will, PeopleX convince PersonX",0,The event PersonX spend money includes the event/action that PersonX enter information in quicken,1,The event PersonX take course includes the event/action that PersonX learn new,1,The event PersonX afford PersonY pleasure will not happen unless PersonX understand PersonY,1,"PersonX finish school, thus as an result, PersonX smile",1,"PersonX roll up PersonY sleeve, thus as an result, PersonX receive thanks",1
"PersonX invite PersonY to party, thus as a result on PersonX's emotion, PersonX accomplish PersonX object",0,"PersonX pull rank, thus, PersonY want to satisfy PersonX",1,"PersonX be retain, thus it can be seen about PersonX's attribute that PersonX draw a line",0,The event PersonX begin PersonY program will not happen unless PersonX be naughty,0,The event PersonX win a prize will not happen unless PersonX buy raffle ticket,1,"If PersonX be next in line, PersonX is seen as, PersonX find something in there",0,"If PersonX make PersonY example, but before, PersonX needed, PersonX keep PersonX house",0,"If PersonX start run day, because PersonX wanted, PersonX be in shape",1,"If PersonX keep the family together, but before, PersonX needed, PersonX need to talk with PeopleX",1,"If PersonX be there, causes, PersonX go on walk",1,"PersonX put it in microwave, thus it can be seen about PersonX's intention that PersonX want to eat",1,"PersonX have enough money, thus as an result, PersonX become happy",1,"PersonX propose to PersonY, thus, PersonX want PeopleX be date",0,"PersonX open the door for PersonY, thus it can be seen about PersonX's attribute that PersonX be traditional",1,"Because the day be hot, PersonX be there",1
"The event PersonX find PersonY way will not happen, if PersonX do not have a map",1,"PersonX buy a new hat, thus, PersonX want to look good",1,"PersonX go sailing, thus, PersonX want to catch some fish",1,"After PersonX keep PersonY company, PersonY wash the dish",1,"After PersonX win PersonX first game, PersonX have beginnger luck",1,"If PersonX receive PersonY degree, as a result, PersonX will, PersonY graduate with honor",1,"If PersonX decide to help PersonY, as a result, PersonX wants to, PersonY help PersonY",0,"If PersonX give the devil PersonY due, as a result, PersonX feels, PersonX be relieve",1,"If PersonX support PersonX family, but before, PersonX needed, PersonX need to send paycheck to family",1,"If PersonX become impatient, includes the event or action, PersonX determine who",0,The event PersonX talk to PersonY will not happen unless PersonX make,1,"PersonX read PersonY book, thus as an result, PersonX need to open PersonY 's book",0,"PersonX be make spaghetti, thus as a result on PersonX's emotion, PersonX feel PersonX be indifferent",1,"PersonX keep PersonY still, thus as an result, PersonX stand still",1,The event PersonX open the gate will not happen unless PersonX key,1
"The event PersonX feel PersonY lip will not happen, if PersonX be not near persony",1,"Because PersonX have that, that do not make it",1,"PersonX defend PersonX 's interest, thus it can be seen about PersonX's intention that PersonY feel",1,"The event PersonX take PersonY shopping will not happen, if PersonX do not have any money",1,The event PersonX pull PersonY 's close will not happen unless PersonX read PersonY paper,0,"If PersonX have a lot in common, as a result, PersonY or others want to, PersonY want to hang out with personx",1,"If PersonX turn around quickly, as a result, PersonX will, PersonX could be lose",1,"If PersonX want to lose PersonY, PersonX is seen as, PersonX be annoyed",1,"If PersonX be on the stage, causes, PersonX see",1,"If PersonX be PersonY 's prom date, as a result, PersonY or others will, PersonY friend tell detail about PersonX",1,"PersonX get courage, thus as an result, PersonX find it in heart",0,"PersonX enter PersonY 's room, thus it can be seen about PersonX's attribute that PersonX be sociable",1,The event PersonX immediately jump will not happen unless PersonX lift foot,1,The event the cake decorate will not happen unless PersonX buy a birthday cake,0,"PersonX make PersonX bed, thus it can be seen about PersonX's intention that PersonX rest",1
