head,relation,tail,label,modification,assertion
PersonX sees all of the animals,oReact,PersonX visits a zoo,0,1,"PersonX sees all of the animals, thus as a result on PersonY's emotion, PersonX visits a zoo"
PersonX throws the baby out with the bathwater,xIntent,PersonX feel a sense of loss,0,1,"PersonX throws the baby out with the bathwater, thus it can be seen about PersonX's intention that PersonX feel a sense of loss"
PersonX meets the love of PersonX's life,xAttr,PersonX be hopeful,1,0,"PersonX meets the love of PersonX's life, thus it can be seen about PersonX's attribute that PersonX be hopeful"
PersonX takes ___ out for a ride,xReact,PersonX feel glad,1,0,"PersonX takes ___ out for a ride, thus as a result on PersonX's emotion, PersonX feel glad"
PersonX changes ___ frequently,xNeed,PersonX be free-spirited,0,2,The event PersonX changes ___ frequently will not happen unless PersonX be free-spirited
PersonX confronts PersonY's roommate,xAttr,PersonX be honest,1,0,"PersonX confronts PersonY's roommate, thus it can be seen about PersonX's attribute that PersonX be honest"
PersonX tries sushi before,xIntent,PersonX intended to eat something,1,0,"PersonX tries sushi before, thus it can be seen about PersonX's intention that PersonX intended to eat something"
PersonX sings PersonX's heart,xNeed,PersonX be full of life,0,1,The event PersonX sings PersonX's heart will not happen unless PersonX be full of life
PersonX takes PersonY up on the offer,xIntent,PersonX intended to do something with person y,1,0,"PersonX takes PersonY up on the offer, thus it can be seen about PersonX's intention that PersonX intended to do something with person y"
PersonX blows PersonY's mind,xAttr,PersonX feel cool,0,2,"PersonX blows PersonY's mind, thus it can be seen about PersonX's attribute that PersonX feel cool"
PersonX enters PersonX's office,xNeed,PersonX go to the office,1,0,The event PersonX enters PersonX's office will not happen unless PersonX go to the office
PersonX watches PersonY go,xAttr,PersonX intended to see where person goes ,0,1,"PersonX watches PersonY go, thus it can be seen about PersonX's attribute that PersonX intended to see where person goes "
PersonX helps ___ with problems,xIntent,PersonX intended to see his company's success,1,0,"PersonX helps ___ with problems, thus it can be seen about PersonX's intention that PersonX intended to see his company's success"
PersonX is PersonY's boyfriend,xAttr,PersonX feel love towards persony,0,2,"PersonX is PersonY's boyfriend, thus it can be seen about PersonX's attribute that PersonX feel love towards persony"
PersonX drives all the way,xNeed,PersonX get in the car,1,0,The event PersonX drives all the way will not happen unless PersonX get in the car
PersonX wipes PersonX's forehead,xIntent,PersonX intended to be clean ,1,0,"PersonX wipes PersonX's forehead, thus it can be seen about PersonX's intention that PersonX intended to be clean "
PersonX commits another ___,xNeed,PersonX have done it before,1,0,The event PersonX commits another ___ will not happen unless PersonX have done it before
PersonX comes ___ from school,xAttr,PersonX feel happy to go home,0,1,"PersonX comes ___ from school, thus it can be seen about PersonX's attribute that PersonX feel happy to go home"
PersonX feels terrible,xReact,PersonX feel mad,1,0,"PersonX feels terrible, thus as a result on PersonX's emotion, PersonX feel mad"
PersonX pulls PersonY's car over,xAttr,PersonX catch up and pull behind them,0,2,"PersonX pulls PersonY's car over, thus it can be seen about PersonX's attribute that PersonX catch up and pull behind them"
PersonX stands on stage,xAttr,PersonX be confident,1,0,"PersonX stands on stage, thus it can be seen about PersonX's attribute that PersonX be confident"
PersonX gives PersonY what-for,xNeed,PersonX be angry,1,0,The event PersonX gives PersonY what-for will not happen unless PersonX be angry
have extreme enthusiasm,xNeed,PersonX have zeal,1,0,The event have extreme enthusiasm will not happen unless PersonX have zeal
PersonX gets dressed,xIntent,PersonX intended to look nice,1,0,"PersonX gets dressed, thus it can be seen about PersonX's intention that PersonX intended to look nice"
PersonX throws the food,xIntent,PersonX intended to show disatisfaction,1,0,"PersonX throws the food, thus it can be seen about PersonX's intention that PersonX intended to show disatisfaction"
PersonX goes down the toilet,xIntent,PersonX be untalented,0,1,"PersonX goes down the toilet, thus it can be seen about PersonX's intention that PersonX be untalented"
PersonX lights a candle,xNeed,PersonX be thoughtful,0,2,The event PersonX lights a candle will not happen unless PersonX be thoughtful
PersonX kisses PersonY cheek,oReact,PersonX be expressive,0,1,"PersonX kisses PersonY cheek, thus as a result on PersonY's emotion, PersonX be expressive"
PersonX employs another ___,xAttr,PersonX intended to watch something interesting,0,1,"PersonX employs another ___, thus it can be seen about PersonX's attribute that PersonX intended to watch something interesting"
PersonX watches one with PersonY,oReact,PersonX intended to be entertained,0,2,"PersonX watches one with PersonY, thus as a result on PersonY's emotion, PersonX intended to be entertained"
PersonX calls god 's ___,xAttr,PersonX be biblical,1,0,"PersonX calls god 's ___, thus it can be seen about PersonX's attribute that PersonX be biblical"
PersonX possesses PersonY knowledge,xNeed,PersonX learn from persony,1,0,The event PersonX possesses PersonY knowledge will not happen unless PersonX learn from persony
PersonX spends a ___ working,xNeed,PersonX intended to earn money,0,1,The event PersonX spends a ___ working will not happen unless PersonX intended to earn money
PersonX finds a gold ring,xReact,PersonX feel curious whos ring it is,1,0,"PersonX finds a gold ring, thus as a result on PersonX's emotion, PersonX feel curious whos ring it is"
PersonX links together ___,xNeed,PersonX do research,1,0,The event PersonX links together ___ will not happen unless PersonX do research
PersonX decides to order pizza instead,xNeed,PersonX feel satsified,0,2,The event PersonX decides to order pizza instead will not happen unless PersonX feel satsified
PersonX takes a bow,xIntent,PersonX intended to take the heat,1,0,"PersonX takes a bow, thus it can be seen about PersonX's intention that PersonX intended to take the heat"
PersonX puts the top,xNeed,PersonX find a top,1,0,The event PersonX puts the top will not happen unless PersonX find a top
PersonX encourages PersonX,xIntent,PersonX intended to be motivated,1,0,"PersonX encourages PersonX, thus it can be seen about PersonX's intention that PersonX intended to be motivated"
PersonX loves the meal,xReact,PersonX be appreciative,0,2,"PersonX loves the meal, thus as a result on PersonX's emotion, PersonX be appreciative"
PersonX lasts all day,xNeed,PersonX sleep all night,1,0,The event PersonX lasts all day will not happen unless PersonX sleep all night
PersonX makes PersonY change,oReact,PersonX be aggressive,0,1,"PersonX makes PersonY change, thus as a result on PersonY's emotion, PersonX be aggressive"
PersonX leaves PersonY ___ alone,xAttr,PersonX walk away,0,1,"PersonX leaves PersonY ___ alone, thus it can be seen about PersonX's attribute that PersonX walk away"
PersonX feels ___ better,xNeed,PersonX take medicine,1,0,The event PersonX feels ___ better will not happen unless PersonX take medicine
PersonX finishes ___ last night,oReact,PersonX have to do it,0,1,"PersonX finishes ___ last night, thus as a result on PersonY's emotion, PersonX have to do it"
PersonX sees PersonY ago,xReact,PersonX intended to meet old friend,0,2,"PersonX sees PersonY ago, thus as a result on PersonX's emotion, PersonX intended to meet old friend"
PersonX continues driving,xNeed,PersonX see car incident,1,0,The event PersonX continues driving will not happen unless PersonX see car incident
PersonX organizes and ___ collectively,xAttr,PersonX be responsible,1,0,"PersonX organizes and ___ collectively, thus it can be seen about PersonX's attribute that PersonX be responsible"
PersonX walks to PersonY's room,xAttr,PersonX go up the stairs,0,1,"PersonX walks to PersonY's room, thus it can be seen about PersonX's attribute that PersonX go up the stairs"
PersonX has a test tomorrow,xNeed,PersonX show up for class,1,0,The event PersonX has a test tomorrow will not happen unless PersonX show up for class
PersonX finally meet PersonY,xAttr,PersonX ask friend to be introduced to persony,0,1,"PersonX finally meet PersonY, thus it can be seen about PersonX's attribute that PersonX ask friend to be introduced to persony"
PersonX takes matters,xIntent,PersonX intended to do a perfect job,1,0,"PersonX takes matters, thus it can be seen about PersonX's intention that PersonX intended to do a perfect job"
PersonX needs a shot,xNeed,PersonX feel annoyed,0,1,The event PersonX needs a shot will not happen unless PersonX feel annoyed
PersonX walks in front of PersonY,xIntent,PersonX intended to be in front of the line,1,0,"PersonX walks in front of PersonY, thus it can be seen about PersonX's intention that PersonX intended to be in front of the line"
PersonX eats less,xReact,PersonX read a book about healthy eating,0,1,"PersonX eats less, thus as a result on PersonX's emotion, PersonX read a book about healthy eating"
PersonX beats around the bush,xIntent,PersonX intended to not talk about something,1,0,"PersonX beats around the bush, thus it can be seen about PersonX's intention that PersonX intended to not talk about something"
PersonX knows much,xIntent,PersonX intended to be intimidating,1,0,"PersonX knows much, thus it can be seen about PersonX's intention that PersonX intended to be intimidating"
PersonX gets a replacement,xNeed,PersonX turn in his keys,1,0,The event PersonX gets a replacement will not happen unless PersonX turn in his keys
PersonX accidentally poured,xReact,PersonX feel clumsy,1,0,"PersonX accidentally poured, thus as a result on PersonX's emotion, PersonX feel clumsy"
PersonX learns a new skill,xIntent,PersonX feel skillful,0,1,"PersonX learns a new skill, thus it can be seen about PersonX's intention that PersonX feel skillful"
PersonX fills PersonY's lungs,xNeed,PersonX know cpr,1,0,The event PersonX fills PersonY's lungs will not happen unless PersonX know cpr
PersonX gives PersonY instruction,xNeed,PersonX know what to do,1,0,The event PersonX gives PersonY instruction will not happen unless PersonX know what to do
PersonX gets PersonX's hands dirty,xIntent,PersonX intended to do some labor intensive work,1,0,"PersonX gets PersonX's hands dirty, thus it can be seen about PersonX's intention that PersonX intended to do some labor intensive work"
PersonX is also nervous,oReact,PersonX buys plane ticket,0,1,"PersonX is also nervous, thus as a result on PersonY's emotion, PersonX buys plane ticket"
PersonX scars ___ away,xIntent,PersonX intended to get rid of him,1,0,"PersonX scars ___ away, thus it can be seen about PersonX's intention that PersonX intended to get rid of him"
PersonX apprehends PersonY,xNeed,PersonX get close,1,0,The event PersonX apprehends PersonY will not happen unless PersonX get close
PersonX discerns the lord 's ___,xNeed,PersonX be holy,0,2,The event PersonX discerns the lord 's ___ will not happen unless PersonX be holy
PersonX rests PersonY's chin,xAttr,PersonX hold person y,0,2,"PersonX rests PersonY's chin, thus it can be seen about PersonX's attribute that PersonX hold person y"
PersonX stops at the store,xIntent,PersonX intended to pick up some broccoli,1,0,"PersonX stops at the store, thus it can be seen about PersonX's intention that PersonX intended to pick up some broccoli"
PersonX romps home,xNeed,PersonX notice the bad weather,1,0,The event PersonX romps home will not happen unless PersonX notice the bad weather
PersonX decides to purchase it,xIntent,PersonX save up for something,0,2,"PersonX decides to purchase it, thus it can be seen about PersonX's intention that PersonX save up for something"
PersonX buys PersonY,oReact,PersonX find someone selling people,0,1,"PersonX buys PersonY, thus as a result on PersonY's emotion, PersonX find someone selling people"
PersonX makes the team,xNeed,PersonX practice,1,0,The event PersonX makes the team will not happen unless PersonX practice
PersonX eats it,xNeed,PersonX feel happy,0,1,The event PersonX eats it will not happen unless PersonX feel happy
PersonX chooses one 's ___,xIntent,PersonX ask friends,0,2,"PersonX chooses one 's ___, thus it can be seen about PersonX's intention that PersonX ask friends"
PersonX starts working out every day,xIntent,PersonX intended to be in shape,1,0,"PersonX starts working out every day, thus it can be seen about PersonX's intention that PersonX intended to be in shape"
PersonX spills PersonX's coffee,xNeed,PersonX feel clumsy,0,1,The event PersonX spills PersonX's coffee will not happen unless PersonX feel clumsy
PersonX stops being friends,xAttr,PersonX feel upset,0,2,"PersonX stops being friends, thus it can be seen about PersonX's attribute that PersonX feel upset"
PersonX considers briefly the ___,xAttr,PersonX be pensive,1,0,"PersonX considers briefly the ___, thus it can be seen about PersonX's attribute that PersonX be pensive"
PersonX wants to fly,oReact,PersonX feel eager,0,1,"PersonX wants to fly, thus as a result on PersonY's emotion, PersonX feel eager"
PersonX wins every ___,xNeed,PersonX practice their skills,1,0,The event PersonX wins every ___ will not happen unless PersonX practice their skills
PersonX is happy for PersonY,xReact,PersonX get to know persony,0,2,"PersonX is happy for PersonY, thus as a result on PersonX's emotion, PersonX get to know persony"
PersonX interprets the ___ in ways,xNeed,PersonX feel proud,0,2,The event PersonX interprets the ___ in ways will not happen unless PersonX feel proud
PersonX believes also in PersonY,xAttr,PersonX be supportive,1,0,"PersonX believes also in PersonY, thus it can be seen about PersonX's attribute that PersonX be supportive"
PersonX runs full speed,xIntent,PersonX start moving and gaining speed,0,2,"PersonX runs full speed, thus it can be seen about PersonX's intention that PersonX start moving and gaining speed"
write story,xNeed,PersonX write about what know,1,0,The event write story will not happen unless PersonX write about what know
PersonX would work,xAttr,PersonX be diligent,1,0,"PersonX would work, thus it can be seen about PersonX's attribute that PersonX be diligent"
PersonX gives PersonY name,xIntent,PersonX be kind,0,2,"PersonX gives PersonY name, thus it can be seen about PersonX's intention that PersonX be kind"
PersonX obeys every ___,xNeed,PersonX be a good listener,1,0,The event PersonX obeys every ___ will not happen unless PersonX be a good listener
PersonX breaks PersonY heart,xAttr,PersonX talk,0,2,"PersonX breaks PersonY heart, thus it can be seen about PersonX's attribute that PersonX talk"
PersonX gets to PersonY's feet,oReact,PersonX be understanding,0,1,"PersonX gets to PersonY's feet, thus as a result on PersonY's emotion, PersonX be understanding"
PersonX does an amazing job,xNeed,PersonX meet all demands,1,0,The event PersonX does an amazing job will not happen unless PersonX meet all demands
PersonX comes and see PersonY,xAttr,PersonX a car,0,1,"PersonX comes and see PersonY, thus it can be seen about PersonX's attribute that PersonX a car"
PersonX keeps PersonY from starving,oReact,PersonX be compassionate,0,1,"PersonX keeps PersonY from starving, thus as a result on PersonY's emotion, PersonX be compassionate"
PersonX gets a second job,xNeed,PersonX get in the car,1,0,The event PersonX gets a second job will not happen unless PersonX get in the car
PersonX lays PersonY on the bed,xAttr,PersonX carry persony from the couch,0,2,"PersonX lays PersonY on the bed, thus it can be seen about PersonX's attribute that PersonX carry persony from the couch"
PersonX gives the children ___,oReact,PersonX be friendly,0,1,"PersonX gives the children ___, thus as a result on PersonY's emotion, PersonX be friendly"
PersonX burns PersonX's arm,xAttr,PersonX be violent,1,0,"PersonX burns PersonX's arm, thus it can be seen about PersonX's attribute that PersonX be violent"
PersonX links ___ together,xNeed,PersonX find the parts,1,0,The event PersonX links ___ together will not happen unless PersonX find the parts
PersonX buys a computer,oReact,PersonX intended to learn how to use a computer,0,1,"PersonX buys a computer, thus as a result on PersonY's emotion, PersonX intended to learn how to use a computer"
PersonX prevents ___ from accessing,xIntent,PersonX intended to save the important thing from others,1,0,"PersonX prevents ___ from accessing, thus it can be seen about PersonX's intention that PersonX intended to save the important thing from others"
PersonX plays PersonY's favorite song,xIntent,PersonX be musical,0,1,"PersonX plays PersonY's favorite song, thus it can be seen about PersonX's intention that PersonX be musical"
PersonX puts everything,xNeed,PersonX have grocery shopping,1,0,The event PersonX puts everything will not happen unless PersonX have grocery shopping
PersonX begs PersonY's parents for one,xAttr,PersonX be whingeing,1,0,"PersonX begs PersonY's parents for one, thus it can be seen about PersonX's attribute that PersonX be whingeing"
get exercise,xNeed,PersonX train,1,0,The event get exercise will not happen unless PersonX train
PersonX manages PersonY's ___ well,xNeed,PersonX be efficient,0,2,The event PersonX manages PersonY's ___ well will not happen unless PersonX be efficient
PersonX is able to find it,xNeed,PersonX feel relieved,0,1,The event PersonX is able to find it will not happen unless PersonX feel relieved
PersonX enjoys each other 's company,xNeed,PersonX some friends,1,0,The event PersonX enjoys each other 's company will not happen unless PersonX some friends
PersonX mixes it up,xAttr,PersonX be bizzare,1,0,"PersonX mixes it up, thus it can be seen about PersonX's attribute that PersonX be bizzare"
PersonX would n't fit,xAttr,PersonX be regretful,1,0,"PersonX would n't fit, thus it can be seen about PersonX's attribute that PersonX be regretful"
PersonX takes place on the day,xReact,PersonX feel nervous,1,0,"PersonX takes place on the day, thus as a result on PersonX's emotion, PersonX feel nervous"
PersonX plays for PersonX,xReact,PersonX be narcissistic,0,1,"PersonX plays for PersonX, thus as a result on PersonX's emotion, PersonX be narcissistic"
PersonX lays on PersonY's bed,xAttr,PersonX feel refreshed,0,1,"PersonX lays on PersonY's bed, thus it can be seen about PersonX's attribute that PersonX feel refreshed"
PersonX learns new things,xAttr,PersonX intended to gain knowledge,0,1,"PersonX learns new things, thus it can be seen about PersonX's attribute that PersonX intended to gain knowledge"
PersonX brings the puppy home,xNeed,PersonX adopt puppy,1,0,The event PersonX brings the puppy home will not happen unless PersonX adopt puppy
PersonX grants a ___ by the ccc,xIntent,PersonX intended to have something ,1,0,"PersonX grants a ___ by the ccc, thus it can be seen about PersonX's intention that PersonX intended to have something "
PersonX tastes the food,xAttr,PersonX intended to make sure it tastes okay,0,2,"PersonX tastes the food, thus it can be seen about PersonX's attribute that PersonX intended to make sure it tastes okay"
PersonX goes ___ to dinner,xNeed,PersonX freshen up,1,0,The event PersonX goes ___ to dinner will not happen unless PersonX freshen up
PersonX passes ___ around,xAttr,PersonX be open,1,0,"PersonX passes ___ around, thus it can be seen about PersonX's attribute that PersonX be open"
PersonX leaves ___ on the table,xNeed,PersonX cook things,1,0,The event PersonX leaves ___ on the table will not happen unless PersonX cook things
PersonX finds ___ to play with,xNeed,PersonX shoes,1,0,The event PersonX finds ___ to play with will not happen unless PersonX shoes
PersonX finds gold,xReact,PersonX feel elated,1,0,"PersonX finds gold, thus as a result on PersonX's emotion, PersonX feel elated"
PersonX tunes PersonX's guitar,xAttr,PersonX intended to play a song on the guitar,0,2,"PersonX tunes PersonX's guitar, thus it can be seen about PersonX's attribute that PersonX intended to play a song on the guitar"
PersonX dates for years,xNeed,PersonX be content,0,2,The event PersonX dates for years will not happen unless PersonX be content
PersonX covers the ___ completely,xIntent,PersonX intended to protect something,1,0,"PersonX covers the ___ completely, thus it can be seen about PersonX's intention that PersonX intended to protect something"
PersonX waits for PersonY,xAttr,PersonX feel happy to wait,0,1,"PersonX waits for PersonY, thus it can be seen about PersonX's attribute that PersonX feel happy to wait"
PersonX feels closer,xAttr,PersonX feel loving,0,2,"PersonX feels closer, thus it can be seen about PersonX's attribute that PersonX feel loving"
PersonX hangs PersonY's head,xNeed,PersonX confront persony,1,0,The event PersonX hangs PersonY's head will not happen unless PersonX confront persony
PersonX escorts PersonY back,xIntent,PersonX have asked persony to go with them,0,2,"PersonX escorts PersonY back, thus it can be seen about PersonX's intention that PersonX have asked persony to go with them"
PersonX uses ___ regularly,xReact,PersonX feel normal,1,0,"PersonX uses ___ regularly, thus as a result on PersonX's emotion, PersonX feel normal"
PersonX looks into PersonY's face,xAttr,PersonX intended to express affection for person y,0,2,"PersonX looks into PersonY's face, thus it can be seen about PersonX's attribute that PersonX intended to express affection for person y"
PersonX has fun playing,xNeed,PersonX feel excited with the activities,0,2,The event PersonX has fun playing will not happen unless PersonX feel excited with the activities
PersonX buys ___ one,xAttr,PersonX be kind,1,0,"PersonX buys ___ one, thus it can be seen about PersonX's attribute that PersonX be kind"
PersonX feels relief,xIntent,PersonX feel like pain has been lessened,0,1,"PersonX feels relief, thus it can be seen about PersonX's intention that PersonX feel like pain has been lessened"
PersonX loves the experience,xIntent,PersonX think about it,0,1,"PersonX loves the experience, thus it can be seen about PersonX's intention that PersonX think about it"
PersonX spends ___ on the beach,xNeed,PersonX feel satisfied,0,2,The event PersonX spends ___ on the beach will not happen unless PersonX feel satisfied
PersonX revenges PersonX's father 's ___,xNeed,PersonX feel bad,0,2,The event PersonX revenges PersonX's father 's ___ will not happen unless PersonX feel bad
PersonX knows how to dance,xNeed,PersonX feel good,0,2,The event PersonX knows how to dance will not happen unless PersonX feel good
PersonX spits nails,xNeed,PersonX find out a bad thing,1,0,The event PersonX spits nails will not happen unless PersonX find out a bad thing
PersonX drops PersonY off at home,oReact,PersonX be alone,0,1,"PersonX drops PersonY off at home, thus as a result on PersonY's emotion, PersonX be alone"
PersonX wears PersonX's boots,xIntent,PersonX intended to rush for the tennis court,1,0,"PersonX wears PersonX's boots, thus it can be seen about PersonX's intention that PersonX intended to rush for the tennis court"
PersonX goes ___ at the lake,oReact,PersonX intended to relax,0,1,"PersonX goes ___ at the lake, thus as a result on PersonY's emotion, PersonX intended to relax"
PersonX brings the puppy,xIntent,PersonX intended to entertain his children ,1,0,"PersonX brings the puppy, thus it can be seen about PersonX's intention that PersonX intended to entertain his children "
get fit,xIntent,PersonX eat less,0,1,"get fit, thus it can be seen about PersonX's intention that PersonX eat less"
PersonX puts PersonY to death,xAttr,PersonX be scary,1,0,"PersonX puts PersonY to death, thus it can be seen about PersonX's attribute that PersonX be scary"
PersonX gets PersonX's belly button pierced,xIntent,PersonX intended to look cool,1,0,"PersonX gets PersonX's belly button pierced, thus it can be seen about PersonX's intention that PersonX intended to look cool"
PersonX covers every aspect,xReact,PersonX learn information,0,1,"PersonX covers every aspect, thus as a result on PersonX's emotion, PersonX learn information"
"PersonX buys ___ , though",xNeed,PersonX cash,1,0,"The event PersonX buys ___ , though will not happen unless PersonX cash"
PersonX splashes ___ on PersonY's face,xAttr,PersonX see person y,0,1,"PersonX splashes ___ on PersonY's face, thus it can be seen about PersonX's attribute that PersonX see person y"
PersonX falls on PersonY's neck,xAttr,PersonX feel still angry,0,2,"PersonX falls on PersonY's neck, thus it can be seen about PersonX's attribute that PersonX feel still angry"
PersonX rises to the challenge,xAttr,PersonX be boasting,1,0,"PersonX rises to the challenge, thus it can be seen about PersonX's attribute that PersonX be boasting"
PersonX wants to play outside,xReact,PersonX feel relaxed and refreshed,1,0,"PersonX wants to play outside, thus as a result on PersonX's emotion, PersonX feel relaxed and refreshed"
PersonX makes a deal,xIntent,PersonX intended to cooperate with someone,1,0,"PersonX makes a deal, thus it can be seen about PersonX's intention that PersonX intended to cooperate with someone"
PersonX plays ___ anymore,xNeed,PersonX be socially conscious,0,1,The event PersonX plays ___ anymore will not happen unless PersonX be socially conscious
PersonX inflicts ___ on others,xAttr,PersonX be mean,1,0,"PersonX inflicts ___ on others, thus it can be seen about PersonX's attribute that PersonX be mean"
PersonX gets the book,xIntent,PersonX feel satisfied,0,2,"PersonX gets the book, thus it can be seen about PersonX's intention that PersonX feel satisfied"
PersonX eats quickly,xIntent,PersonX feel eager,0,2,"PersonX eats quickly, thus it can be seen about PersonX's intention that PersonX feel eager"
PersonX breaks PersonX's hip,xReact,PersonX be old,0,2,"PersonX breaks PersonX's hip, thus as a result on PersonX's emotion, PersonX be old"
PersonX cheats on PersonY,oReact,PersonY feel upset,1,0,"PersonX cheats on PersonY, thus as a result on PersonY's emotion, PersonY feel upset"
PersonX prevents ___ from engaging,xNeed,PersonX help the children,1,0,The event PersonX prevents ___ from engaging will not happen unless PersonX help the children
PersonX cuts swathes,xNeed,PersonX feel happy,0,2,The event PersonX cuts swathes will not happen unless PersonX feel happy
PersonX puts ___ in a box,xIntent,PersonX intended to throw it out,1,0,"PersonX puts ___ in a box, thus it can be seen about PersonX's intention that PersonX intended to throw it out"
PersonX sees wood,oReact,PersonX be aware,0,1,"PersonX sees wood, thus as a result on PersonY's emotion, PersonX be aware"
PersonX gets a call from PersonY,xAttr,PersonX feel happy,0,2,"PersonX gets a call from PersonY, thus it can be seen about PersonX's attribute that PersonX feel happy"
PersonX hits a telephone pole,xReact,PersonX feel shocked,1,0,"PersonX hits a telephone pole, thus as a result on PersonX's emotion, PersonX feel shocked"
PersonX goes white water rafting,xNeed,PersonX pack supplies,1,0,The event PersonX goes white water rafting will not happen unless PersonX pack supplies
PersonX disposes of PersonX's property,xReact,PersonX grab their property,0,1,"PersonX disposes of PersonX's property, thus as a result on PersonX's emotion, PersonX grab their property"
PersonX shares ___ equally,xAttr,PersonX feel ecstatic,0,2,"PersonX shares ___ equally, thus it can be seen about PersonX's attribute that PersonX feel ecstatic"
PersonX builds a ___ on the site,xNeed,PersonX buy land,1,0,The event PersonX builds a ___ on the site will not happen unless PersonX buy land
PersonX begins to eat it,xNeed,PersonX prepare for consumption,1,0,The event PersonX begins to eat it will not happen unless PersonX prepare for consumption
PersonX makes ___ every morning,xNeed,PersonX feel good for getting it done,0,2,The event PersonX makes ___ every morning will not happen unless PersonX feel good for getting it done
PersonX owes PersonX's ___ to the fact,xReact,PersonX intended to take an opportunity,0,2,"PersonX owes PersonX's ___ to the fact, thus as a result on PersonX's emotion, PersonX intended to take an opportunity"
PersonX surmounts every ___,xAttr,PersonX move forward with a plan,0,2,"PersonX surmounts every ___, thus it can be seen about PersonX's attribute that PersonX move forward with a plan"
PersonX revises every ___,xNeed,PersonX intended to be nice,0,1,The event PersonX revises every ___ will not happen unless PersonX intended to be nice
PersonX thinks would happen,xIntent,PersonX intended to feel positive ,1,0,"PersonX thinks would happen, thus it can be seen about PersonX's intention that PersonX intended to feel positive "
PersonX calls the fire department,xIntent,PersonX intended to save a house,1,0,"PersonX calls the fire department, thus it can be seen about PersonX's intention that PersonX intended to save a house"
PersonX visits PersonY friend,xAttr,PersonX be excitement,1,0,"PersonX visits PersonY friend, thus it can be seen about PersonX's attribute that PersonX be excitement"
PersonX goes down the pan,xReact,PersonX feel like a failure,1,0,"PersonX goes down the pan, thus as a result on PersonX's emotion, PersonX feel like a failure"
