head,tail,relation,dataset,label,assertion,assertion_tq
PersonX put the dirty dish in sink,PersonX have gift,xWant,atomic,0,"PersonX put the dirty dish in sink, thus, PersonX want to have gift","If PersonX put the dirty dish in sink, as a result, PersonX wants to, PersonX have gift"
PersonX feel very proud,PersonX resume PersonX work,xWant,atomic,0,"PersonX feel very proud, thus, PersonX want to resume PersonX work","If PersonX feel very proud, as a result, PersonX wants to, PersonX resume PersonX work"
PersonX return to restaurant,PersonX be loyal,xAttr,atomic,1,"PersonX return to restaurant, thus it can be seen about PersonX's attribute that PersonX be loyal","If PersonX return to restaurant, PersonX is seen as, PersonX be loyal"
persony do not have any hand,PersonX 's cost be already reduce,HinderedBy,atomic2020,0,"The event persony do not have any hand will not happen, if PersonX 's cost be already reduce","If persony do not have any hand, can be hindered by, PersonX 's cost be already reduce"
PeopleX deserve happiness,PersonX reach out to PeopleX,xReact,atomic,0,"PeopleX deserve happiness, thus as a result on PersonX's emotion, PersonX reach out to PeopleX","If PeopleX deserve happiness, as a result, PersonX feels, PersonX reach out to PeopleX"
PersonX watch movie,PersonX be relax,xEffect,atomic,0,"PersonX watch movie, thus as an result, PersonX be relax","If PersonX watch movie, as a result, PersonX will, PersonX be relax"
PersonX wash PersonY face,PersonX be helpful,xAttr,atomic,1,"PersonX wash PersonY face, thus it can be seen about PersonX's attribute that PersonX be helpful","If PersonX wash PersonY face, PersonX is seen as, PersonX be helpful"
PersonX potty train,PersonX be responsible,xAttr,atomic,1,"PersonX potty train, thus it can be seen about PersonX's attribute that PersonX be responsible","If PersonX potty train, PersonX is seen as, PersonX be responsible"
person y have lock the door,the bakery have no change for bill,HinderedBy,atomic2020,0,"The event person y have lock the door will not happen, if the bakery have no change for bill","If person y have lock the door, can be hindered by, the bakery have no change for bill"
PersonX shave PersonX face,PersonX do not have any whisker,HinderedBy,atomic2020,1,"The event PersonX shave PersonX face will not happen, if PersonX do not have any whisker","If PersonX shave PersonX face, can be hindered by, PersonX do not have any whisker"
PersonX occupy PersonY position,PersonY want to aid in position,xWant,atomic,1,"PersonX occupy PersonY position, thus, PersonX want PersonY want to aid in position","If PersonX occupy PersonY position, as a result, PersonX wants to, PersonY want to aid in position"
PersonX really like it,PersonX make the cheerleader squad,isBefore,atomic2020,0,"After PersonX really like it, PersonX make the cheerleader squad","If PersonX really like it, happens before, PersonX make the cheerleader squad"
PersonX prepare a camera record persony 's reaction,PersonX set a spell,xWant,atomic,0,"PersonX prepare a camera record persony 's reaction, thus, PersonX want to set a spell","If PersonX prepare a camera record persony 's reaction, as a result, PersonX wants to, PersonX set a spell"
PersonX finish the project,PersonX need to check the drink menu,xNeed,atomic,0,The event PersonX finish the project will not happen unless PersonX check the drink menu,"If PersonX finish the project, but before, PersonX needed, PersonX need to check the drink menu"
PersonX get PersonY parent,PersonX ask PersonY for permission,xNeed,atomic,1,The event PersonX get PersonY parent will not happen unless PersonX ask PersonY for permission,"If PersonX get PersonY parent, but before, PersonX needed, PersonX ask PersonY for permission"
where PersonX 's mouth be,person x can not get to place,HinderedBy,atomic2020,1,"The event where PersonX 's mouth be will not happen, if person x can not get to place","If where PersonX 's mouth be, can be hindered by, person x can not get to place"
PeopleX grind PersonX,PersonX feel angered,xReact,glucose,1,"PeopleX grind PersonX, thus as a result on PersonX's emotion, PersonX feel angered","If PeopleX grind PersonX, as a result, PersonX feels, PersonX feel angered"
PersonX check PersonX pocket,PersonX be observant,xAttr,atomic,1,"PersonX check PersonX pocket, thus it can be seen about PersonX's attribute that PersonX be observant","If PersonX check PersonX pocket, PersonX is seen as, PersonX be observant"
PeopleX feel cold,PersonX wouldnt let,xAttr,atomic,0,"PeopleX feel cold, thus it can be seen about PersonX's attribute that PersonX wouldnt let","If PeopleX feel cold, PersonX is seen as, PersonX wouldnt let"
PersonX be less stressed,PersonX stay with mom,xReact,atomic,0,"PersonX be less stressed, thus as a result on PersonX's emotion, PersonX stay with mom","If PersonX be less stressed, as a result, PersonX feels, PersonX stay with mom"
PersonX want to go there,PersonX get PersonX wallet,xAttr,atomic,0,"PersonX want to go there, thus it can be seen about PersonX's attribute that PersonX get PersonX wallet","If PersonX want to go there, PersonX is seen as, PersonX get PersonX wallet"
PersonX remember the event with shame,PersonX get medical bill,xEffect,atomic,0,"PersonX remember the event with shame, thus as an result, PersonX get medical bill","If PersonX remember the event with shame, as a result, PersonX will, PersonX get medical bill"
PersonX start drink it,PersonX make a candle,xReact,glucose,0,"PersonX start drink it, thus as a result on PersonX's emotion, PersonX make a candle","If PersonX start drink it, as a result, PersonX feels, PersonX make a candle"
PersonX start talk,PersonX excercise,xIntent,atomic,0,"PersonX start talk, thus it can be seen about PersonX's intention that PersonX excercise","If PersonX start talk, because PersonX wanted, PersonX excercise"
PersonX break the deadlock,PersonY win the argument,xAttr,atomic,0,"PersonX break the deadlock, thus it can be seen about PersonX's attribute that PersonY win the argument","If PersonX break the deadlock, PersonX is seen as, PersonY win the argument"
PersonY get startle at lion,PersonX play for time,oEffect,atomic,0,"PersonY get startle at lion, thus as an result, PersonX play for time","If PersonY get startle at lion, as a result, PersonY or others will, PersonX play for time"
PersonX be thirfty,PersonX buy it,xReact,atomic,0,"PersonX be thirfty, thus as a result on PersonX's emotion, PersonX buy it","If PersonX be thirfty, as a result, PersonX feels, PersonX buy it"
PersonX resume PersonX seat,PersonX tell anyone,xAttr,atomic,0,"PersonX resume PersonX seat, thus it can be seen about PersonX's attribute that PersonX tell anyone","If PersonX resume PersonX seat, PersonX is seen as, PersonX tell anyone"
PersonX regret,PersonX put PeopleX in vase,xEffect,atomic,0,"PersonX regret, thus as an result, PersonX put PeopleX in vase","If PersonX regret, as a result, PersonX will, PersonX put PeopleX in vase"
PersonX forget PersonX computer login password,PeopleX have not find persony,HinderedBy,atomic2020,0,"The event PersonX forget PersonX computer login password will not happen, if PeopleX have not find persony","If PersonX forget PersonX computer login password, can be hindered by, PeopleX have not find persony"
PeopleX understand PersonY,PersonX will help PeopleX,oWant,atomic,0,"PeopleX understand PersonY, thus, PersonY want PersonX will help PeopleX","If PeopleX understand PersonY, as a result, PersonY or others want to, PersonX will help PeopleX"
PersonX play the violin,PersonX to relax,xEffect,atomic,1,"PersonX play the violin, thus as an result, PersonX to relax","If PersonX play the violin, as a result, PersonX will, PersonX to relax"
PersonX share PersonX thought,PersonX like have a furry friend,xReact,atomic,0,"PersonX share PersonX thought, thus as a result on PersonX's emotion, PersonX like have a furry friend","If PersonX share PersonX thought, as a result, PersonX feels, PersonX like have a furry friend"
PersonX stand up quickly,PersonX want success,xIntent,glucose,1,"PersonX stand up quickly, thus it can be seen about PersonX's intention that PersonX want success","If PersonX stand up quickly, because PersonX wanted, PersonX want success"
PersonX tell ben,PersonX tell PersonY kid,oWant,atomic,0,"PersonX tell ben, thus, PersonY want PersonX tell PersonY kid","If PersonX tell ben, as a result, PersonY or others want to, PersonX tell PersonY kid"
it be rain,PersonX go home soon,isAfter,atomic2020,0,"Before it be rain, PersonX go home soon","If it be rain, happens after, PersonX go home soon"
PersonX take family,PersonX look past PersonY,isBefore,atomic2020,0,"After PersonX take family, PersonX look past PersonY","If PersonX take family, happens before, PersonX look past PersonY"
PersonX ease PersonY mind,PersonX need to put hand on shoulder,xNeed,atomic,1,The event PersonX ease PersonY mind will not happen unless PersonX put hand on shoulder,"If PersonX ease PersonY mind, but before, PersonX needed, PersonX need to put hand on shoulder"
PersonX yell at house,the movie be there,Causes,glucose,0,"Because PersonX yell at house, the movie be there","If PersonX yell at house, causes, the movie be there"
PeopleX can not find there book,PersonY house burn to ground,HinderedBy,atomic2020,0,"The event PeopleX can not find there book will not happen, if PersonY house burn to ground","If PeopleX can not find there book, can be hindered by, PersonY house burn to ground"
PersonX also play,PersonX play one thing,xNeed,atomic,1,The event PersonX also play will not happen unless PersonX play one thing,"If PersonX also play, but before, PersonX needed, PersonX play one thing"
PersonX love to do it,PersonX want to do it,xWant,glucose,1,"PersonX love to do it, thus, PersonX want to do it","If PersonX love to do it, as a result, PersonX wants to, PersonX want to do it"
PersonX grab one,PersonX want a beer,xAttr,atomic,0,"PersonX grab one, thus it can be seen about PersonX's attribute that PersonX want a beer","If PersonX grab one, PersonX is seen as, PersonX want a beer"
PersonX be like a different person,PersonX take a short nap,xReact,glucose,0,"PersonX be like a different person, thus as a result on PersonX's emotion, PersonX take a short nap","If PersonX be like a different person, as a result, PersonX feels, PersonX take a short nap"
PersonX work the night shift,PersonX be exhaust,xReact,atomic,1,"PersonX work the night shift, thus as a result on PersonX's emotion, PersonX feel PersonX be exhaust","If PersonX work the night shift, as a result, PersonX feels, PersonX be exhaust"
PersonX protect,PersonX repel PersonY attack,xIntent,atomic,0,"PersonX protect, thus it can be seen about PersonX's intention that PersonX repel PersonY attack","If PersonX protect, because PersonX wanted, PersonX repel PersonY attack"
PersonX perform,PersonX be put on track,xEffect,glucose,1,"PersonX perform, thus as an result, PersonX be put on track","If PersonX perform, as a result, PersonX will, PersonX be put on track"
PersonX steal,PersonY grab hold,oEffect,atomic,0,"PersonX steal, thus as an result, PersonY grab hold","If PersonX steal, as a result, PersonY or others will, PersonY grab hold"
PersonX bring PersonY to life,PersonX go out with PeopleX,oReact,atomic,0,"PersonX bring PersonY to life, thus as a result on PersonY's emotion, PersonX go out with PeopleX","If PersonX bring PersonY to life, as a result, PersonY or others feel, PersonX go out with PeopleX"
PersonX cook it,PersonX rid PersonX 's bike,xIntent,atomic,0,"PersonX cook it, thus it can be seen about PersonX's intention that PersonX rid PersonX 's bike","If PersonX cook it, because PersonX wanted, PersonX rid PersonX 's bike"
PersonX be untrustworthy,PersonX tell PersonY 's friend,xAttr,atomic,0,"PersonX be untrustworthy, thus it can be seen about PersonX's attribute that PersonX tell PersonY 's friend","If PersonX be untrustworthy, PersonX is seen as, PersonX tell PersonY 's friend"
PersonX start PersonX first job,PersonY lose client,oEffect,atomic,1,"PersonX start PersonX first job, thus as an result, PersonY lose client","If PersonX start PersonX first job, as a result, PersonY or others will, PersonY lose client"
PersonX give PersonY the appearance,PersonX want to show off,xWant,atomic,1,"PersonX give PersonY the appearance, thus, PersonX want to show off","If PersonX give PersonY the appearance, as a result, PersonX wants to, PersonX want to show off"
PersonX would not calm,PersonX give PersonY space,oEffect,glucose,0,"PersonX would not calm, thus as an result, PersonX give PersonY space","If PersonX would not calm, as a result, PersonY or others will, PersonX give PersonY space"
PersonX buy something for that,PersonY feel happy,oReact,glucose,1,"PersonX buy something for that, thus as a result on PersonY's emotion, PersonY feel happy","If PersonX buy something for that, as a result, PersonY or others feel, PersonY feel happy"
PersonX call PersonY back,PersonX sleep through ringing,isAfter,atomic2020,1,"Before PersonX call PersonY back, PersonX sleep through ringing","If PersonX call PersonY back, happens after, PersonX sleep through ringing"
another person be more interesting,PersonX do not have a tail,HinderedBy,atomic2020,0,"The event another person be more interesting will not happen, if PersonX do not have a tail","If another person be more interesting, can be hindered by, PersonX do not have a tail"
PersonX continue training,PersonX go buy dog food,xWant,atomic,0,"PersonX continue training, thus, PersonX want to go buy dog food","If PersonX continue training, as a result, PersonX wants to, PersonX go buy dog food"
PersonX raise PersonY 's eyebrow,PersonX intent exclaim the person,xIntent,atomic,1,"PersonX raise PersonY 's eyebrow, thus it can be seen about PersonX's intention that PersonX intent exclaim the person","If PersonX raise PersonY 's eyebrow, because PersonX wanted, PersonX intent exclaim the person"
PersonX remodel PersonY 's bathroom,PersonY be grateful of PersonX,oEffect,atomic,1,"PersonX remodel PersonY 's bathroom, thus as an result, PersonY be grateful of PersonX","If PersonX remodel PersonY 's bathroom, as a result, PersonY or others will, PersonY be grateful of PersonX"
PersonX take PersonX truck,PersonX be alive,xReact,atomic,1,"PersonX take PersonX truck, thus as a result on PersonX's emotion, PersonX feel PersonX be alive","If PersonX take PersonX truck, as a result, PersonX feels, PersonX be alive"
PersonY can trust personx,PersonX love PersonY 's new home,oReact,atomic,0,"PersonY can trust personx, thus as a result on PersonY's emotion, PersonX love PersonY 's new home","If PersonY can trust personx, as a result, PersonY or others feel, PersonX love PersonY 's new home"
PersonX jump up in surprise,PersonX feel,xReact,glucose,1,"PersonX jump up in surprise, thus as a result on PersonX's emotion, PersonX feel","If PersonX jump up in surprise, as a result, PersonX feels, PersonX feel"
PersonX let,PersonY will hurt PeopleX neck,xNeed,atomic,0,The event PersonX let will not happen unless PersonY will hurt PeopleX neck,"If PersonX let, but before, PersonX needed, PersonY will hurt PeopleX neck"
PersonX lift PersonY head,PersonX make eye contact with person,xAttr,atomic,0,"PersonX lift PersonY head, thus it can be seen about PersonX's attribute that PersonX make eye contact with person","If PersonX lift PersonY head, PersonX is seen as, PersonX make eye contact with person"
PersonX take PersonY glass,PersonX take PeopleX to PersonY,xWant,atomic,1,"PersonX take PersonY glass, thus, PersonX want to take PeopleX to PersonY","If PersonX take PersonY glass, as a result, PersonX wants to, PersonX take PeopleX to PersonY"
PersonX get PersonY 's phone back,PeopleX break it,HinderedBy,atomic2020,1,"The event PersonX get PersonY 's phone back will not happen, if PeopleX break it","If PersonX get PersonY 's phone back, can be hindered by, PeopleX break it"
it be too late,PersonX take several hour,HinderedBy,atomic2020,0,"The event it be too late will not happen, if PersonX take several hour","If it be too late, can be hindered by, PersonX take several hour"
PersonX have a broken computer,PersonX have to buy a new one,Causes,glucose,1,"Because PersonX have a broken computer, PersonX have to buy a new one","If PersonX have a broken computer, causes, PersonX have to buy a new one"
PersonX grab PersonY arm,PersonY be at work,HinderedBy,atomic2020,1,"The event PersonX grab PersonY arm will not happen, if PersonY be at work","If PersonX grab PersonY arm, can be hindered by, PersonY be at work"
PersonX get the answer,PersonX want to give PeopleX up for adoption,xWant,atomic,0,"PersonX get the answer, thus, PersonX want to give PeopleX up for adoption","If PersonX get the answer, as a result, PersonX wants to, PersonX want to give PeopleX up for adoption"
PersonX inherit from father,PersonY be jealous,oReact,atomic,1,"PersonX inherit from father, thus as a result on PersonY's emotion, PersonY feel PersonY be jealous","If PersonX inherit from father, as a result, PersonY or others feel, PersonY be jealous"
PersonY consider invitation,PersonY make face,oEffect,atomic,0,"PersonY consider invitation, thus as an result, PersonY make face","If PersonY consider invitation, as a result, PersonY or others will, PersonY make face"
PersonX make PersonY adjustment,PersonX be considerate,xAttr,atomic,1,"PersonX make PersonY adjustment, thus it can be seen about PersonX's attribute that PersonX be considerate","If PersonX make PersonY adjustment, PersonX is seen as, PersonX be considerate"
PersonX like power,PersonX be happy,xIntent,atomic,0,"PersonX like power, thus it can be seen about PersonX's intention that PersonX be happy","If PersonX like power, because PersonX wanted, PersonX be happy"
PersonX call security,PersonX feel safe again,xWant,atomic,1,"PersonX call security, thus, PersonX want to feel safe again","If PersonX call security, as a result, PersonX wants to, PersonX feel safe again"
PeopleX have paint,PeopleX be paint there,Causes,glucose,1,"Because PeopleX have paint, PeopleX be paint there","If PeopleX have paint, causes, PeopleX be paint there"
PersonX make fun of,PersonX sell PersonX old car,xNeed,atomic,0,The event PersonX make fun of will not happen unless PersonX sell PersonX old car,"If PersonX make fun of, but before, PersonX needed, PersonX sell PersonX old car"
PersonX take PersonY 's hour,PersonY pay check decrease,oEffect,atomic,1,"PersonX take PersonY 's hour, thus as an result, PersonY pay check decrease","If PersonX take PersonY 's hour, as a result, PersonY or others will, PersonY pay check decrease"
PersonX hit the gas,the car be out gas,HinderedBy,atomic2020,1,"The event PersonX hit the gas will not happen, if the car be out gas","If PersonX hit the gas, can be hindered by, the car be out gas"
PersonX move the needle,PersonX listen to track,xReact,atomic,0,"PersonX move the needle, thus as a result on PersonX's emotion, PersonX listen to track","If PersonX move the needle, as a result, PersonX feels, PersonX listen to track"
PersonX send PersonY to room,PersonY be sad,xIntent,atomic,0,"PersonX send PersonY to room, thus it can be seen about PersonX's intention that PersonY be sad","If PersonX send PersonY to room, because PersonX wanted, PersonY be sad"
PersonX feel ill,PersonX be do,Causes,glucose,0,"Because PersonX feel ill, PersonX be do","If PersonX feel ill, causes, PersonX be do"
PersonX be a hard worker,PersonX be fire from job,HinderedBy,atomic2020,1,"The event PersonX be a hard worker will not happen, if PersonX be fire from job","If PersonX be a hard worker, can be hindered by, PersonX be fire from job"
PersonX help persony,PersonX do PersonY 's work well,xIntent,atomic,0,"PersonX help persony, thus it can be seen about PersonX's intention that PersonX do PersonY 's work well","If PersonX help persony, because PersonX wanted, PersonX do PersonY 's work well"
PersonX take a bite of that,PersonX choke on that,xEffect,glucose,1,"PersonX take a bite of that, thus as an result, PersonX choke on that","If PersonX take a bite of that, as a result, PersonX will, PersonX choke on that"
PersonX get a new dog,person x be allergic,HinderedBy,atomic2020,1,"The event PersonX get a new dog will not happen, if person x be allergic","If PersonX get a new dog, can be hindered by, person x be allergic"
PersonX do something unexpected,PersonX carry out PersonY order,oReact,atomic,0,"PersonX do something unexpected, thus as a result on PersonY's emotion, PersonX carry out PersonY order","If PersonX do something unexpected, as a result, PersonY or others feel, PersonX carry out PersonY order"
PersonX decide to try one,PersonX see a new flavor of cream,isAfter,atomic2020,1,"Before PersonX decide to try one, PersonX see a new flavor of cream","If PersonX decide to try one, happens after, PersonX see a new flavor of cream"
PersonX get a spanner,PersonX work smart,xNeed,atomic,0,The event PersonX get a spanner will not happen unless PersonX work smart,"If PersonX get a spanner, but before, PersonX needed, PersonX work smart"
PeopleX take PersonX,PersonX entertain persony,xIntent,atomic,0,"PeopleX take PersonX, thus it can be seen about PersonX's intention that PersonX entertain persony","If PeopleX take PersonX, because PersonX wanted, PersonX entertain persony"
that be dirty,PersonX offer PersonY,isAfter,atomic2020,0,"Before that be dirty, PersonX offer PersonY","If that be dirty, happens after, PersonX offer PersonY"
PersonX ask PersonY husband,PeopleX have run out of tissue,HinderedBy,atomic2020,0,"The event PersonX ask PersonY husband will not happen, if PeopleX have run out of tissue","If PersonX ask PersonY husband, can be hindered by, PeopleX have run out of tissue"
PersonX want to something,PersonX need anything,xWant,atomic,0,"PersonX want to something, thus, PersonX want to need anything","If PersonX want to something, as a result, PersonX wants to, PersonX need anything"
PersonX mean everything to PersonY,PersonX buy gift,xWant,cn,1,"PersonX mean everything to PersonY, thus, PersonX want to buy gift","If PersonX mean everything to PersonY, as a result, PersonX wants to, PersonX buy gift"
PersonX go to home,PersonX hang out,isBefore,atomic2020,1,"After PersonX go to home, PersonX hang out","If PersonX go to home, happens before, PersonX hang out"
PersonX make poster get vote,PersonX make PersonY breakfast,isBefore,atomic2020,0,"After PersonX make poster get vote, PersonX make PersonY breakfast","If PersonX make poster get vote, happens before, PersonX make PersonY breakfast"
PersonX have that,PersonX can not wait for that,Causes,glucose,1,"Because PersonX have that, PersonX can not wait for that","If PersonX have that, causes, PersonX can not wait for that"
PersonX feel sick,PersonX crawl into bed,xAttr,atomic,0,"PersonX feel sick, thus it can be seen about PersonX's attribute that PersonX crawl into bed","If PersonX feel sick, PersonX is seen as, PersonX crawl into bed"
PersonX break PersonY 's kiss,PersonX get stressed,xEffect,atomic,1,"PersonX break PersonY 's kiss, thus as an result, PersonX get stressed","If PersonX break PersonY 's kiss, as a result, PersonX will, PersonX get stressed"
PersonX love swimming,PersonX want to find nearest swimming pool,xWant,atomic,1,"PersonX love swimming, thus, PersonX want to find nearest swimming pool","If PersonX love swimming, as a result, PersonX wants to, PersonX want to find nearest swimming pool"
PersonX work together,PersonX do not get,HinderedBy,atomic2020,1,"The event PersonX work together will not happen, if PersonX do not get","If PersonX work together, can be hindered by, PersonX do not get"
PersonX can not wait to show,PersonX have a question,xIntent,atomic,0,"PersonX can not wait to show, thus it can be seen about PersonX's intention that PersonX have a question","If PersonX can not wait to show, because PersonX wanted, PersonX have a question"
something be very dirty,the snow be on the ground,Causes,glucose,0,"Because something be very dirty, the snow be on the ground","If something be very dirty, causes, the snow be on the ground"
PersonY gain courtroom experience,PersonX be discover bed at around,oEffect,atomic,0,"PersonY gain courtroom experience, thus as an result, PersonX be discover bed at around","If PersonY gain courtroom experience, as a result, PersonY or others will, PersonX be discover bed at around"
PersonX purchase the ingredient,PersonY want to beat PersonX in exam,oWant,atomic,0,"PersonX purchase the ingredient, thus, PersonY want to beat PersonX in exam","If PersonX purchase the ingredient, as a result, PersonY or others want to, PersonY want to beat PersonX in exam"
PersonX be motivate,PersonX rid PersonX 's bicycle,xReact,glucose,0,"PersonX be motivate, thus as a result on PersonX's emotion, PersonX rid PersonX 's bicycle","If PersonX be motivate, as a result, PersonX feels, PersonX rid PersonX 's bicycle"
PersonX be hustler,PersonX give PersonY a big hug,xAttr,atomic,0,"PersonX be hustler, thus it can be seen about PersonX's attribute that PersonX give PersonY a big hug","If PersonX be hustler, PersonX is seen as, PersonX give PersonY a big hug"
PersonX bear PersonX share,PersonX be drive in something,xEffect,atomic,0,"PersonX bear PersonX share, thus as an result, PersonX be drive in something","If PersonX bear PersonX share, as a result, PersonX will, PersonX be drive in something"
PersonX set PersonY apart,PersonX be prepare,xAttr,atomic,1,"PersonX set PersonY apart, thus it can be seen about PersonX's attribute that PersonX be prepare","If PersonX set PersonY apart, PersonX is seen as, PersonX be prepare"
PersonX cover PersonY with kiss,PersonX be shy about himself,xReact,atomic,1,"PersonX cover PersonY with kiss, thus as a result on PersonX's emotion, PersonX feel PersonX be shy about himself","If PersonX cover PersonY with kiss, as a result, PersonX feels, PersonX be shy about himself"
PersonX be be disruptive,PersonX want attention,xIntent,glucose,1,"PersonX be be disruptive, thus it can be seen about PersonX's intention that PersonX want attention","If PersonX be be disruptive, because PersonX wanted, PersonX want attention"
PersonX make reservation,PersonX buy a brand,xReact,atomic,0,"PersonX make reservation, thus as a result on PersonX's emotion, PersonX buy a brand","If PersonX make reservation, as a result, PersonX feels, PersonX buy a brand"
PersonX give PersonY the eye,PersonX want to organise activity for day,xWant,atomic,0,"PersonX give PersonY the eye, thus, PersonX want to organise activity for day","If PersonX give PersonY the eye, as a result, PersonX wants to, PersonX want to organise activity for day"
PersonX be at the grocery store with mom,PersonY be hard satisfaction,oReact,atomic,0,"PersonX be at the grocery store with mom, thus as a result on PersonY's emotion, PersonY feel PersonY be hard satisfaction","If PersonX be at the grocery store with mom, as a result, PersonY or others feel, PersonY be hard satisfaction"
PersonX file for bankruptcy,PersonY have goods,oWant,atomic,1,"PersonX file for bankruptcy, thus, PersonY want to have goods","If PersonX file for bankruptcy, as a result, PersonY or others want to, PersonY have goods"
PersonX sound PersonY alarm,PersonX be nuetral,xReact,atomic,1,"PersonX sound PersonY alarm, thus as a result on PersonX's emotion, PersonX feel PersonX be nuetral","If PersonX sound PersonY alarm, as a result, PersonX feels, PersonX be nuetral"
PersonX decide to go fishing,PersonX have fun,xEffect,atomic,1,"PersonX decide to go fishing, thus as an result, PersonX have fun","If PersonX decide to go fishing, as a result, PersonX will, PersonX have fun"
PersonX have a sheet,PersonX meet PersonY requirement,xNeed,atomic,0,The event PersonX have a sheet will not happen unless PersonX meet PersonY requirement,"If PersonX have a sheet, but before, PersonX needed, PersonX meet PersonY requirement"
PersonX have PeopleX,PersonX step in it,Causes,glucose,0,"Because PersonX have PeopleX, PersonX step in it","If PersonX have PeopleX, causes, PersonX step in it"
PersonX hit the sack,PersonX have a paper due class,HinderedBy,atomic2020,1,"The event PersonX hit the sack will not happen, if PersonX have a paper due class","If PersonX hit the sack, can be hindered by, PersonX have a paper due class"
PersonX take one look at PersonY,PersonX make some extra cash,xIntent,atomic,0,"PersonX take one look at PersonY, thus it can be seen about PersonX's intention that PersonX make some extra cash","If PersonX take one look at PersonY, because PersonX wanted, PersonX make some extra cash"
PersonX intent to PersonZ will thrill,PersonX do PersonX best,xIntent,atomic,0,"PersonX intent to PersonZ will thrill, thus it can be seen about PersonX's intention that PersonX do PersonX best","If PersonX intent to PersonZ will thrill, because PersonX wanted, PersonX do PersonX best"
PersonX need to exhale fully,PersonX need to buy a broom,xNeed,atomic,0,The event PersonX need to exhale fully will not happen unless PersonX buy a broom,"If PersonX need to exhale fully, but before, PersonX needed, PersonX need to buy a broom"
PersonX give PersonY pleasure,PersonY be not in the mood,HinderedBy,atomic2020,1,"The event PersonX give PersonY pleasure will not happen, if PersonY be not in the mood","If PersonX give PersonY pleasure, can be hindered by, PersonY be not in the mood"
PersonX walk up time,PersonX need to take shopping bag,xNeed,atomic,0,The event PersonX walk up time will not happen unless PersonX take shopping bag,"If PersonX walk up time, but before, PersonX needed, PersonX need to take shopping bag"
PersonX applaud PersonY,PersonX be at the store with mom,isBefore,atomic2020,0,"After PersonX applaud PersonY, PersonX be at the store with mom","If PersonX applaud PersonY, happens before, PersonX be at the store with mom"
PersonX appreciate PersonY effort,PersonY be proud,oReact,atomic,1,"PersonX appreciate PersonY effort, thus as a result on PersonY's emotion, PersonY feel PersonY be proud","If PersonX appreciate PersonY effort, as a result, PersonY or others feel, PersonY be proud"
PersonX decide to take a bath,PersonX need to take off PeopleX clothes,xNeed,atomic,1,The event PersonX decide to take a bath will not happen unless PersonX take off PeopleX clothes,"If PersonX decide to take a bath, but before, PersonX needed, PersonX need to take off PeopleX clothes"
